NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
55,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,전세,98.3953,202605,19,"48,000",0,2,2019,영어도시로 77-6,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
56,서울특별시 마포구 용강동,117-1,117,1,(117-1),전세,96.66,202605,19,"34,000",0,2,1980,마포대로1길 53,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
57,서울특별시 동작구 상도동,22-59,22,59,민이하이츠빌,월세,93.83,202605,19,300,40,4,2003,만양로1길 24,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
58,서울특별시 은평구 불광동,74-2,74,2,대원빌라,전세,91.81,202605,19,"21,000",0,1,1983,연서로43길 9-16,202605~202805,갱신,-,"20,000",0.0,연립다세대,연립다세대,2026-05
59,강원특별자치도 춘천시 운교동,38-2,38,2,현대그린빌라,월세,91.175,202605,19,"1,500",50,4,1994,춘천로167번길 24,202608~203108,신규,-,,,연립다세대,연립다세대,2026-05
60,서울특별시 강남구 삼성동,124-6,124,6,(124-6),전세,95.97,202605,19,"35,000",0,1,1976,봉은사로68길 47,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
61,서울특별시 서대문구 연희동,76-5,76,5,(76-5),전세,100.41,202605,18,"63,000",0,1,2018,연희로26가길 19-7,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
62,서울특별시 광진구 화양동,15-71,15,71,(15-71),월세,94.68,202605,18,"1,000",65,2,2002,군자로5길 7-5,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
63,경상북도 경주시 성건동,495-2,495,2,흥무빌라1차,월세,94.07,202605,18,300,70,4,1993,북성로17번길 6,202605~202705,신규,-,,,연립다세대,연립다세대,2026-05
64,서울특별시 송파구 석촌동,235-12,235,12,진빌라트,월세,86.83,202605,18,500,55,4,2004,백제고분로34길 3-15,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
65,경기도 화성시 동탄구 송동,695,695,0,동탄레이크자이더테라스,월세,96.5618,202605,18,"31,500",68,4,2018,동탄순환대로1길 99,202607~202807,갱신,-,"31,500",62.0,연립다세대,연립다세대,2026-05
66,서울특별시 마포구 연남동,564-28,564,28,코디골드하우스B동,월세,85.44,202605,18,"32,000",40,3,2003,연남로1길 74,202605~202805,갱신,-,"32,000",30.0,연립다세대,연립다세대,2026-05
67,서울특별시 송파구 송파동,9-4,9,4,호수빌,월세,92.44,202605,17,500,44,5,2004,송파대로48길 6,202607~202807,갱신,-,500,42.0,연립다세대,연립다세대,2026-05
68,서울특별시 송파구 삼전동,119-2,119,2,(119-2),월세,98.02,202605,16,"3,000",35,5,2003,삼학사로13길 19,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
69,서울특별시 은평구 녹번동,76-33,76,33,현대빌라A(76-33),월세,96.45,202605,16,"5,000",150,2,1991,은평로21길 30-2,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
70,경기도 화성시 동탄구 송동,696,696,0,동탄레이크자이더테라스,월세,96.5618,202605,15,"31,500",69,4,2018,동탄순환대로1길 64,202607~202807,갱신,-,"31,500",64.0,연립다세대,연립다세대,2026-05
71,서울특별시 마포구 상수동,334-5,334,5,강변힐스,월세,85.42,202605,15,500,45,4,2009,와우산로3안길 23,202605~202705,신규,-,,,연립다세대,연립다세대,2026-05
72,제주특별자치도 제주시 연동,253-49,253,49,에스빌라트,월세,97.44,202605,15,500,67,3,1990,연동4길 6-5,202606~202705,신규,-,,,연립다세대,연립다세대,2026-05
73,경기도 고양시 덕양구 원흥동,375-12,375,12,HUNHOUSE,전세,98.26,202605,15,"33,000",0,2,2023,서오릉로716번길 64-11,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
74,서울특별시 광진구 구의동,223-50,223,50,(223-50),월세,94.1,202605,15,"2,000",108,3,2004,구의로4길 7-13,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
75,경기도 고양시 덕양구 원흥동,375-12,375,12,HUNHOUSE,전세,98.26,202605,15,"33,000",0,2,2023,서오릉로716번길 64-11,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
76,충청남도 서산시 동문동,390-11,390,11,동아빌라A동,월세,88.26,202605,15,"1,500",50,1,1989,학동3로 9,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
77,경기도 광주시 신현동,803,803,0,정성그린빌라(A동),월세,92.54,202605,15,"2,000",90,3,1997,상태길 41-14,202607~202807,갱신,-,"2,000",90.0,연립다세대,연립다세대,2026-05
78,서울특별시 강남구 논현동,271,271,0,학동빌라(271),전세,99.37,202605,15,"52,500",0,4,1992,선릉로115길 35,202606~202806,갱신,사용,"50,000",0.0,연립다세대,연립다세대,2026-05
79,서울특별시 금천구 시흥동,793-12,793,12,삼천리빌라A동,월세,90.29,202605,15,"10,000",40,-1,1993,독산로44길 43-1,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
80,서울특별시 송파구 삼전동,121-12,121,12,그레이스빌,월세,95.79,202605,14,"1,000",60,5,2002,백제고분로31길 12-6,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
81,서울특별시 강남구 논현동,150-15,150,15,제로원,월세,99.9,202605,14,"15,000",150,3,2003,학동로18길 41,202605~202805,갱신,-,"10,000",135.0,연립다세대,연립다세대,2026-05
82,제주특별자치도 제주시 한림읍 상대리,3802,3802,0,제주테라하우스플라주메종,월세,86.92,202605,14,"1,000",117,3,2020,상대2길 36,202605~202705,신규,-,,,연립다세대,연립다세대,2026-05
83,서울특별시 송파구 석촌동,17-1,17,1,時濟房,월세,98.23,202605,14,"25,000",100,5,2002,삼학사로16길 22,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
84,서울특별시 서대문구 연희동,290-1,290,1,연세아크로폴리스,월세,94.64,202605,14,"5,000",30,1,2001,연희로8길 27,202606~202906,갱신,-,"3,000",20.0,연립다세대,연립다세대,2026-05
85,제주특별자치도 제주시 이호일동,1768-2,1768,2,파클리프,월세,93.7722,202605,13,"1,500",125,1,2018,현사안길 27,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
86,제주특별자치도 제주시 한경면 청수리,3391,3391,0,제주국제학교아이비스127,월세,98.9514,202605,13,"1,000",129,2,2023,연명로 145,202605~202705,갱신,-,"1,000",167.0,연립다세대,연립다세대,2026-05
87,경기도 고양시 일산동구 풍동,1127-64,1127,64,씨티뷰104동,전세,90.67,202605,13,"16,800",0,-1,2017,애니골길 15-38,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
88,경기도 고양시 일산동구 풍동,1127-64,1127,64,씨티뷰104동,전세,90.67,202605,13,"16,800",0,-1,2017,애니골길 15-38,202607~202806,신규,-,,,연립다세대,연립다세대,2026-05
89,전북특별자치도 전주시 완산구 중화산동2가,552-3,552,3,남광주택3동,월세,97.2,202605,13,500,30,1,1990,따박골5길 38-21,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
