NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
64,서울특별시 종로구 창신동,6**,8m미만,91.24,월세,202606,28,"1,000",60,1995.0,창신4나길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
65,경기도 성남시 수정구 고등동,1**,8m미만,100.0,월세,202606,28,"38,000",40,2001.0,등자로60번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
66,대구광역시 서구 내당동,9**,8m미만,93.95,전세,202606,28,"10,000",0,2004.0,큰장로9길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
67,경기도 용인시 수지구 상현동,1***,8m미만,102.0,전세,202606,28,"55,000",0,2018.0,광교호수로404번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
68,서울특별시 송파구 가락동,1**,8m미만,99.33,월세,202606,28,"5,500",47,2007.0,동남로13길,202607~202807,갱신,-,"5,500",45.0,단독다가구,단독다가구,2026-06
69,경상남도 진주시 평거동,3**,12m미만,100.0,월세,202606,28,"10,000",60,2017.0,진양호로143번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
70,경상남도 진주시 평거동,3**,12m미만,100.0,월세,202606,28,"10,000",50,,진양호로143번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
71,강원특별자치도 춘천시 동면 만천리,2**,8m미만,87.86,월세,202606,28,"1,000",60,2018.0,금촌로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
72,대구광역시 달서구 상인동,1***,25m미만,94.5,전세,202606,28,"5,000",0,1989.0,상화북로,202610~202810,신규,-,,,단독다가구,단독다가구,2026-06
73,대구광역시 수성구 만촌동,6**,12m미만,99.66,월세,202606,28,"3,000",150,2015.0,공경로2길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
74,경기도 부천시 원미구 중동,1***,25m이상,86.92,전세,202606,28,"23,000",0,1994.0,길주로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
75,경상북도 경산시 하양읍 금락리,7*,8m미만,100.0,월세,202606,28,"5,000",35,2016.0,아낙고개길8길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
76,경상북도 영천시 완산동,1***,12m미만,91.0,월세,202606,28,"2,000",40,2004.0,강남길,-,-,-,,,단독다가구,단독다가구,2026-06
77,서울특별시 광진구 중곡동,7*,8m미만,97.64,월세,202606,28,"5,500",175,2026.0,긴고랑로46길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
78,울산광역시 울주군 온산읍 덕신리,4**,25m미만,89.5,월세,202606,28,"7,000",30,2012.0,용방소길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
79,서울특별시 광진구 중곡동,2**,25m이상,86.25,월세,202606,27,"18,500",10,1974.0,능동로47길,202606~202806,갱신,-,"18,500",0.0,단독다가구,단독다가구,2026-06
80,서울특별시 종로구 명륜1가,2*,8m미만,89.21,월세,202606,27,500,75,2013.0,혜화로11가길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
81,부산광역시 부산진구 개금동,5**,25m미만,99.0,월세,202606,27,500,25,1991.0,냉정로,202607~202806,신규,-,,,단독다가구,단독다가구,2026-06
82,경기도 과천시 문원동,1**,8m미만,87.84,전세,202606,27,"14,000",0,2018.0,문원청계7길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
83,대구광역시 달성군 하빈면 기곡리,6**,8m미만,98.84,월세,202606,27,"1,000",45,1997.0,터실길,202607~202701,신규,-,,,단독다가구,단독다가구,2026-06
84,충청북도 증평군 증평읍 초중리,5**,12m미만,92.0,월세,202606,27,"1,000",55,2001.0,초중1길,202607~202802,신규,-,,,단독다가구,단독다가구,2026-06
85,충청북도 증평군 증평읍 초중리,5**,12m미만,92.0,월세,202606,27,"1,000",55,2001.0,초중1길,202607~202802,신규,-,,,단독다가구,단독다가구,2026-06
86,경기도 화성시 동탄구 반송동,*,12m미만,89.0,전세,202606,27,"23,000",0,2016.0,동탄반송2길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
87,전북특별자치도 전주시 덕진구 만성동,1***,12m미만,96.47,월세,202606,27,"5,000",44,2018.0,월방8길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
88,경기도 오산시 가수동,4**,25m미만,85.86,월세,202606,27,"10,000",120,,가수안길,202607~202806,신규,-,,,단독다가구,단독다가구,2026-06
89,경기도 안양시 동안구 관양동,1***,8m미만,92.25,월세,202606,27,400,40,1988.0,관악대로339번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
90,경기도 용인시 기흥구 영덕동,1***,12m미만,89.62,월세,202606,27,"3,000",120,2014.0,흥덕4로16번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
91,인천광역시 강화군 송해면 숭뢰리,8**,8m미만,97.28,전세,202606,27,"14,000",0,1997.0,전망대로306번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
92,경상북도 청도군 각북면 삼평리,5**,8m미만,98.1,전세,202606,27,"13,000",0,2010.0,삼평3길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
93,서울특별시 종로구 삼청동,3*,8m미만,85.3,월세,202606,27,"5,000",200,,북촌로15길,202607~203106,신규,-,,,단독다가구,단독다가구,2026-06
94,서울특별시 종로구 삼청동,산*,-,89.0,월세,202606,27,"2,000",100,,북촌로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
95,충청북도 청주시 청원구 오창읍 양청리,7**,25m미만,100.0,월세,202606,27,"1,500",60,2012.0,양청택지로,202606~202806,갱신,-,"1,500",67.0,단독다가구,단독다가구,2026-06
96,부산광역시 금정구 구서동,4**,8m미만,91.86,월세,202606,27,"1,000",35,1979.0,수림로50번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
97,대전광역시 서구 도안동,2***,12m미만,90.0,월세,202606,27,"2,000",95,2022.0,용소로60번길,202606~202706,갱신,-,"5,000",80.0,단독다가구,단독다가구,2026-06
98,경기도 하남시 신장동,4**,8m미만,90.0,전세,202606,27,"17,000",0,1991.0,하남대로801번길,202606~202806,갱신,-,"15,000",0.0,단독다가구,단독다가구,2026-06
99,경기도 양평군 서종면 문호리,7**,12m미만,92.0,월세,202606,27,"10,000",50,2016.0,북한강로,-,-,-,,,단독다가구,단독다가구,2026-06
100,경상남도 진주시 상대동,3**,8m미만,89.1,월세,202606,27,"1,000",60,1996.0,동진로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
101,경상남도 진주시 하대동,3**,12m미만,100.0,월세,202606,27,"2,000",110,2018.0,도동로223번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
102,충청남도 서산시 예천동,1***,12m미만,99.0,전세,202606,27,"8,000",0,2012.0,호수공원9로,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
103,경기도 안산시 단원구 대부동동,8*,-,100.8,전세,202606,27,"17,000",0,2026.0,신당안길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
104,경상남도 통영시 인평동,4**,8m미만,90.24,월세,202606,27,"1,500",55,2020.0,국치1길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-06
105,전북특별자치도 정읍시 상동,2**,8m미만,88.0,전세,202606,27,"10,000",0,2015.0,상사2길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
106,서울특별시 종로구 삼청동,3*,8m미만,85.3,월세,202606,27,"5,000",200,,북촌로15길,202607~203106,신규,-,,,단독다가구,단독다가구,2026-06
107,대전광역시 서구 월평동,1***,12m미만,87.36,월세,202606,27,"2,000",60,1995.0,월평서로25번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
108,경기도 과천시 과천동,1**,12m미만,97.81,월세,202606,26,"10,000",180,2008.0,광창로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
109,대전광역시 대덕구 중리동,1**,25m미만,94.06,월세,202606,26,"1,000",55,1988.0,중리남로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
110,서울특별시 서초구 방배동,7**,8m미만,91.41,월세,202606,26,"4,000",130,2001.0,동광로5길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
