품목코드,품목명,Tier,가중치,모델,pred_2026-09
I042080,사진서비스료,A,1.7,비계절ETS,126.71126582818779
I051010,유아용학습교재,A,0.3,비계절ETS,115.53493656790324
I051020,초등학교학습서,A,0.6,비계절ETS,112.47579696493378
I051030,중학교학습서,A,0.6,비계절ETS,119.84482964134416
I051040,고등학교학습서,A,0.6,비계절ETS,140.40064858315858
I051050,대학교재,A,0.2,비계절ETS,103.16310081340758
I051060,서적,A,1.5,비계절ETS,104.22226154398903
I052010,신문,A,0.4,비계절ETS,120.44485124212738
I053010,종이문구,A,0.5,비계절ETS,125.39638472854965
I053020,기타문구,A,0.1,비계절ETS,131.13499941482516
I053030,필기구,A,0.4,비계절ETS,118.17570622686868
I053040,회화용구,A,0.2,비계절ETS,119.03869005265122
I061010,국내단체여행비,A,2.0,비계절ETS,135.93452559944166
I061020,해외단체여행비,A,5.5,비계절ETS,131.370414030258
J041010,초등학생학원비,A,7.6,비계절ETS,112.78511316152589
J041020,중학생학원비,A,13.8,비계절ETS,112.01318371902526
J041030,고등학생학원비,A,13.8,비계절ETS,109.64708287286818
J041040,음악학원비,A,3.0,비계절ETS,120.51124469063426
J041050,미술학원비,A,2.6,비계절ETS,121.42008728266765
J041060,운동학원비,A,5.7,비계절ETS,125.23976779489026
J041070,전산학원비,A,0.5,비계절ETS,115.40916004395085
J041080,가정학습지,A,3.5,비계절ETS,124.55617731571485
J041090,이러닝이용료,A,0.7,비계절ETS,115.60772481449193
J041100,학교보충교육비,A,1.4,비계절ETS,106.19371136975556
J041110,기타학원비,A,0.2,비계절ETS,109.16100998163989
J042010,취업학원비,A,2.0,비계절ETS,108.7542077787689
J042020,외국어학원비,A,0.5,비계절ETS,116.09623347171524
J042030,운동강습료,A,3.7,비계절ETS,110.466737706981
K011010,김치찌개백반,A,4.8,비계절ETS,131.76139669048328
K011020,된장찌개백반,A,4.3,비계절ETS,130.55967196103057
K011030,비빔밥,A,2.4,비계절ETS,133.90191174634086
K011040,설렁탕,A,2.0,비계절ETS,131.65530896832604
K011050,갈비탕,A,2.2,비계절ETS,137.8509619638238
K011060,삼계탕,A,2.2,비계절ETS,127.10431067752317
K011070,해물찜,A,4.1,비계절ETS,118.5064306815659
K011080,해장국,A,5.0,비계절ETS,135.0626606155023
K011090,불고기,A,1.1,비계절ETS,125.94511406955642
K011100,쇠고기(외식),A,8.3,비계절ETS,122.63271357537573
K011110,돼지갈비(외식),A,6.1,비계절ETS,128.23849287101172
K011120,삼겹살(외식),A,7.2,비계절ETS,126.25108182378335
K011130,오리고기(외식),A,1.5,비계절ETS,126.60518763053729
K011140,냉면,A,2.4,비계절ETS,132.62217101514437
K011150,칼국수,A,2.7,비계절ETS,134.05282791044291
K011160,죽(외식),A,1.7,비계절ETS,127.95801765545731
K011170,생선초밥,A,2.7,비계절ETS,120.82835029858428
K011180,생선회(외식),A,10.3,비계절ETS,139.3720554087758
K011190,자장면,A,2.2,비계절ETS,138.6795188911715
K011200,짬뽕,A,2.4,비계절ETS,135.0123477630227
K011210,탕수육,A,2.1,비계절ETS,125.16530816553946
K011220,볶음밥,A,0.9,비계절ETS,133.5622353340437
K011230,돈가스,A,2.2,비계절ETS,133.09224435935624
K011240,스테이크,A,1.5,비계절ETS,122.15930106807743
K011250,스파게티,A,1.5,비계절ETS,121.7285244729595
K011260,라면(외식),A,0.7,비계절ETS,137.04054336149943
K011270,김밥,A,3.4,비계절ETS,145.89165991166755
K011280,떡볶이,A,3.1,비계절ETS,140.89267322936172
K011290,치킨,A,8.6,비계절ETS,132.40363370730606
K011300,햄버거,A,4.3,비계절ETS,142.45110849445535
K011310,피자,A,4.1,비계절ETS,119.6871150914804
K011320,쌀국수,A,0.6,비계절ETS,130.95592771776404
K011330,커피(외식),A,8.8,비계절ETS,111.68870802409351
K011340,기타음료(외식),A,0.5,비계절ETS,107.46779759598552
K011350,소주(외식),A,2.5,비계절ETS,118.85713956207798
K011360,맥주(외식),A,4.8,비계절ETS,121.06929537604869
K011370,막걸리(외식),A,0.3,비계절ETS,120.6610407332229
K011380,구내식당식사비,A,11.9,비계절ETS,127.0417579658251
K011390,도시락,A,0.6,비계절ETS,146.35216190986586
K021010,호텔숙박료,A,2.1,비계절ETS,150.73912355723382
K021020,여관숙박료,A,1.5,비계절ETS,110.74852451962049
K021030,콘도이용료,B,0.8,계절ETS,125.86502853195756
K021040,학교기숙사비,A,0.9,비계절ETS,119.0555873098096
K021050,휴양시설이용료,A,1.4,비계절ETS,131.63437053044234
L011010,목욕료,A,0.6,비계절ETS,139.0475790146506
L011020,찜질방이용료,A,0.6,비계절ETS,135.97911646955328
L011030,이발료,A,0.3,비계절ETS,120.4460634874635
L011040,미용료,A,7.3,비계절ETS,121.51362863965987
L011050,뷰티미용료,A,2.2,비계절ETS,122.49508272963685
L012010,면도기,A,0.4,비계절ETS,124.29797598681176
L012020,헤어드라이어,A,0.7,비계절ETS,119.03147391965622
L012030,칫솔,A,0.4,비계절ETS,103.18010110877567
L012040,치약,A,0.5,비계절ETS,115.43373717421144
L012050,비누,A,0.3,비계절ETS,137.62487104424687
L012060,샴푸,A,1.0,비계절ETS,144.7564476524315
L012070,바디워시,A,0.5,비계절ETS,120.57403124853334
L012080,화장지,A,1.3,비계절ETS,124.34859256837424
L012090,기초화장품,A,4.5,비계절ETS,108.67773719628319
L012100,기능성화장품,A,3.7,비계절ETS,130.6832815589349
L012110,색조화장품,A,0.7,비계절ETS,108.46137991901925
L012120,모발염색약,A,0.7,비계절ETS,131.01425245809517
L012130,구강세정제,A,0.2,비계절ETS,120.47630194826628
L021010,손목시계,A,0.6,비계절ETS,146.40846005834578
L021020,장신구,A,1.0,비계절ETS,120.61826403071389
L021030,가방,A,2.7,비계절ETS,111.10348230002926
L021040,핸드백,A,1.4,비계절ETS,115.53549780693652
L021050,우산,A,0.2,비계절ETS,107.4505419985333
L021060,유모차,A,0.2,비계절ETS,105.71942024081673
L021070,선글라스,A,0.4,비계절ETS,103.19665173764163
L021080,지갑,A,0.5,비계절ETS,122.68999999367385
L031010,산후조리원이용료,A,0.7,비계절ETS,128.95637913720165
L031040,보험서비스료,A,8.6,비계절ETS,217.43809933004673
L031050,자동차보험료,A,3.7,비계절ETS,94.93738267591924
L031060,금융수수료,A,0.2,비계절ETS,99.99933791031246
L031090,대입전형료,A,0.1,비계절ETS,101.73077100966545
L031100,시험응시료,A,0.4,비계절ETS,116.62490876665188
L031110,장례비,A,2.6,비계절ETS,111.57435912819736
A013010,갈치,B,1.1,계절ETS,123.07468135276025
A013020,명태,B,0.7,계절ETS,111.82538152977646
A013030,조기,B,0.9,계절ETS,133.5258932258738
A013040,고등어,B,2.0,계절ETS,137.93128273274834
A013050,오징어,B,1.0,계절ETS,131.31093062221868
A013060,게,B,0.9,계절ETS,92.72273783228049
A013070,굴,B,0.4,계절ETS,115.29985616503814
A013080,조개,B,0.6,계절ETS,122.47707934503224
A013090,전복,B,0.5,계절ETS,87.85947922006184
A013100,새우,B,0.7,계절ETS,124.8856007106891
A013130,낙지,B,0.5,계절ETS,126.37052876228364
A016010,사과,B,2.3,계절ETS,165.05334570221208
A016020,배,B,0.7,계절ETS,167.79722936256263
A016030,복숭아,B,1.0,계절ETS,151.09934400202945
A016040,포도,B,1.4,계절ETS,121.97389745905154
A016050,밤,B,0.2,계절ETS,115.06522807499353
A016060,감,B,0.5,계절ETS,119.5365947392095
A016070,귤,B,1.8,계절ETS,198.04416175884523
A016080,오렌지,B,0.4,계절ETS,114.51978548373376
A016090,참외,B,1.0,계절ETS,94.60495903927388
A016100,수박,B,1.0,계절ETS,145.1413521447924
