품목명,Tier,가중치,MAPE%,방향적중률
주차료,A,1.2,0.22878228081732319,0.16666666666666666
승용차임차료,B,3.2,10.169700623422255,0.16666666666666666
대리운전이용료,A,0.4,0.15169318417601785,1.0
자동차검사료,A,0.3,0.0,1.0
국내항공료,B,1.0,5.6373132253262765,0.5
여객선료,A,0.2,1.7175164649119505,0.5
이삿짐운송료,A,1.0,0.6845699076179977,0.5
택배이용료,A,1.9,0.1164717120637081,0.16666666666666666
휴대전화기,A,10.4,0.37293268496305665,0.16666666666666666
휴대전화기수리비,A,0.4,2.809178798192267,0.3333333333333333
TV,A,1.9,1.3965333455079592,0.6666666666666666
영상음향기기,A,0.9,1.4391112876701873,0.3333333333333333
컴퓨터,A,3.0,3.0838781156716455,0.6666666666666666
컴퓨터수리비,A,0.1,2.589735623344916,0.16666666666666666
휴대용멀티미디어기기,A,1.2,2.531949556511729,0.3333333333333333
컴퓨터소모품,A,0.7,1.134230878074302,0.0
저장장치,A,0.1,4.903512881513097,1.0
악기,A,0.3,0.1976798245479885,0.3333333333333333
헬스기구,A,1.1,2.715306490534933,0.5
장난감,A,2.9,0.8930731492561124,0.5
레저용품,A,1.6,0.5352872149592428,0.8333333333333334
운동용품,A,2.1,2.8212544211959516,0.3333333333333333
화초,A,0.7,6.61367705880954,0.5
원예용품,A,0.4,0.29112937859864757,0.8333333333333334
반려동물용품,A,3.3,0.8130020557610607,0.16666666666666666
반려동물관리비,A,2.6,0.14751531330491388,1.0
수영장이용료,A,0.2,0.10414691986305312,0.5
볼링장이용료,A,0.2,0.08654041163158574,0.6666666666666666
헬스클럽이용료,A,1.5,0.17418246127990247,0.5
골프연습장이용료,A,2.3,0.09910370559580049,0.8333333333333334
골프장이용료,A,3.0,0.514159501490255,0.6666666666666666
당구장이용료,A,0.5,0.11376099441710956,0.6666666666666666
노래방이용료,A,0.5,0.211124497858928,0.6666666666666666
PC방이용료,A,0.3,0.11296001451160491,0.16666666666666666
놀이시설이용료,A,2.3,1.484857491553793,0.5
운동경기관람료,A,0.2,0.4315463808777248,0.3333333333333333
영화관람료,A,1.0,5.987384695549888e-05,0.0
공연예술관람료,A,0.7,0.6546565424505418,0.16666666666666666
관람시설이용료,A,0.6,0.5052510078940868,0.3333333333333333
독서실비,A,0.8,0.27818605391093254,0.3333333333333333
문화강습료,A,0.9,0.08413163180831922,1.0
온라인콘텐츠이용료,A,8.0,0.09638445730179465,0.0
사진서비스료,A,1.7,0.3562506823669808,1.0
유아용학습교재,A,0.3,0.056675650280268365,0.0
초등학교학습서,A,0.6,0.2673159563020648,0.3333333333333333
중학교학습서,A,0.6,0.8967374592569655,0.16666666666666666
고등학교학습서,A,0.6,0.37285954533152615,0.16666666666666666
대학교재,A,0.2,0.11867278178771537,0.16666666666666666
서적,A,1.5,0.22596449444610903,0.5
신문,A,0.4,0.06390681274156196,0.0
종이문구,A,0.5,0.5017010753481637,0.8333333333333334
기타문구,A,0.1,0.5763341086288379,0.8333333333333334
필기구,A,0.4,0.37402001483475683,0.8333333333333334
회화용구,A,0.2,0.21242511332943678,0.5
국내단체여행비,A,2.0,5.974152372239908,0.5
해외단체여행비,A,5.5,4.494251924092892,0.5
