품목명,Tier,모델,가중치,평균오차%,표준편차%,방향일치개월
주택수선재료,A,비계절ETS,3.4,-0.2585948905037386,0.7489889593069864,8
설비수리비,A,비계절ETS,5.9,-0.0061929822429462955,0.13234758774764585,5
상수도료,A,비계절ETS,4.5,-0.06126220436180044,0.23762887316079326,7
공동주택관리비,A,비계절ETS,21.8,-0.04233099010854871,0.8714315138620354,7
장롱,A,비계절ETS,1.3,-0.09778215114259725,0.6864209669223462,2
침대,A,비계절ETS,2.7,-0.19473464049886868,1.290462395138352,1
거실장,A,비계절ETS,0.4,0.04188650166446304,0.4117875866121822,9
소파,A,비계절ETS,1.3,-0.33244773103258807,2.6880288907068386,7
책상,A,비계절ETS,0.4,0.0897800600442551,0.48165084835157207,10
의자,A,비계절ETS,0.4,-0.4946646218423258,1.226040550044354,4
식탁,A,비계절ETS,0.9,-0.14601084924958352,1.1105144398890858,5
싱크대,A,비계절ETS,1.3,0.48989084731044397,1.367336216121181,8
침구,A,비계절ETS,2.6,0.1548796296391795,0.038080239365837786,12
커튼,A,비계절ETS,0.4,-0.32138991702923364,0.45298333000736146,9
전기밥솥,A,비계절ETS,0.5,0.13076836471031086,1.9559536269217563,4
가스레인지,A,비계절ETS,0.4,0.32451995151850277,1.3529079211996515,6
전자레인지,A,비계절ETS,0.1,-0.716197539891513,1.4303494314228442,7
전기레인지,A,비계절ETS,0.2,0.03743263560876875,1.0936341378727774,6
냉장고,A,비계절ETS,2.4,0.3683984562855758,3.5972609457477414,5
김치냉장고,A,비계절ETS,1.1,-0.7994032333592928,2.30335653053558,11
에어컨,A,비계절ETS,1.5,-0.5441371784732263,1.4219605442784538,7
선풍기,A,비계절ETS,0.4,-0.7437682692173165,3.9051398806502196,7
공기청정기,A,비계절ETS,0.6,-0.05405056813089615,1.305947030716501,4
세탁기,A,비계절ETS,1.0,-0.41695223070868326,0.6707148297923228,9
의류건조기,A,비계절ETS,1.1,-0.7200229127122371,1.6729607184689155,6
식기세척기,A,비계절ETS,0.2,0.23890188173272398,1.506202217706825,7
청소기,A,비계절ETS,1.1,0.36114980867060065,1.2673638201450304,6
소형주방가전,A,비계절ETS,0.8,-0.8280289337864079,2.274429362641278,7
보온매트,A,비계절ETS,0.4,-0.36586715920710616,1.2255740408952414,3
가전제품수리비,A,비계절ETS,2.4,-0.12479553859842181,4.451153057596221,4
가전제품렌탈비,A,비계절ETS,2.5,-0.05931370636598346,0.28898449726846986,3
식기,A,비계절ETS,0.8,-0.6746031819836351,2.6079687790674266,7
컵,A,비계절ETS,0.5,-0.25319961708373345,1.1229820825041117,7
솥,A,비계절ETS,0.2,-0.09753030717567528,2.8679995643195535,8
프라이팬,A,비계절ETS,0.6,-0.5357681601023866,3.213438515652028,6
냄비,A,비계절ETS,0.5,-0.05981741800876106,2.600401245884591,7
수저,A,비계절ETS,0.3,0.07385024996022461,1.96910333000294,5
밀폐용기,A,비계절ETS,0.7,-0.23414217999611706,2.7676454216297635,6
부엌용용구,A,비계절ETS,0.4,-0.5171888090038884,1.3882882906506424,7
보일러,A,비계절ETS,1.5,-0.0065789224632470155,0.036366612947588604,9
