월,분류,방식,예측,실제,오차,오차%,채택,가중치
2024-09,12 기타 상품 및 서비스,바텀업,119.7814859006258,118.97,0.8114859006257973,0.6820928810841366,바텀업,52.7
2024-10,"04 주택, 수도, 전기 및 연료",탑다운,116.03894528252852,115.51,0.5289452825285252,0.4579216366795301,탑다운,171.6
2024-10,06 보건,탑다운,104.49352344253867,104.44,0.0535234425386761,0.0512480300063923,탑다운,84.0
2024-10,09 오락 및 문화,탑다운,108.7447211385376,108.71,0.0347211385376198,0.0319392314760554,탑다운,62.9
2024-10,01 식료품 및 비주류음료,바텀업,122.83126468432565,124.53,-1.6987353156743694,-1.3641173337142611,바텀업,142.0
2024-10,02 주류 및 담배,바텀업,104.57740429345364,104.68,-0.1025957065463529,-0.0980088904722515,바텀업,15.8
2024-10,03 의류 및 신발,바텀업,114.38887555813804,114.79,-0.4011244418619526,-0.3494419739192896,바텀업,49.6
2024-10,05 가정용품 및 가사 서비스,바텀업,115.635326702181,115.44,0.1953267021810063,0.1692019249662217,바텀업,45.6
2024-10,07 교통,바텀업,113.1925014420683,112.56,0.6325014420683033,0.5619238113613213,바텀업,110.60000000000001
2024-10,08 통신,바텀업,101.21101192265787,101.32,-0.1089880773421043,-0.1075681774004188,바텀업,46.6
2024-10,10 교육,바텀업,106.89479357311431,106.56,0.3347935731143252,0.3141831579526325,바텀업,73.9
2024-10,11 음식 및 숙박,바텀업,121.25948442061802,121.63,-0.3705155793819727,-0.3046251577587542,바텀업,144.7
2024-10,12 기타 상품 및 서비스,바텀업,119.50258248502716,120.08,-0.5774175149728507,-0.4808606886849189,바텀업,52.7
2024-11,"04 주택, 수도, 전기 및 연료",탑다운,115.2584980892052,115.48,-0.2215019107948137,-0.1918097599539433,탑다운,171.6
2024-11,06 보건,탑다운,104.3982117497528,104.56,-0.1617882502472127,-0.1547324505042203,탑다운,84.0
2024-11,09 오락 및 문화,탑다운,108.22148792956207,108.15,0.0714879295620818,0.0661007208156096,탑다운,62.9
2024-11,01 식료품 및 비주류음료,바텀업,121.68595016674644,121.32,0.365950166746444,0.3016404275852654,바텀업,142.0
2024-11,02 주류 및 담배,바텀업,104.6404079384614,104.81,-0.1695920615385944,-0.1618090464064444,바텀업,15.8
2024-11,03 의류 및 신발,바텀업,114.75095870706508,115.48,-0.729041292934923,-0.6313139010520635,바텀업,49.6
2024-11,05 가정용품 및 가사 서비스,바텀업,115.6686289832726,114.99,0.6786289832726169,0.5901634779307913,바텀업,45.6
2024-11,07 교통,바텀업,113.91466120009358,113.69,0.2246612000935783,0.197608584830309,바텀업,110.60000000000001
2024-11,08 통신,바텀업,101.21440778068714,101.32,-0.1055922193128537,-0.1042165607114624,바텀업,46.6
2024-11,10 교육,바텀업,106.95648438284,106.63,0.3264843828399932,0.3061843597861702,바텀업,73.9
2024-11,11 음식 및 숙박,바텀업,121.73802156630671,121.87,-0.131978433693277,-0.1082944397253442,바텀업,144.7
2024-11,12 기타 상품 및 서비스,바텀업,119.99368613518942,120.2,-0.206313864810582,-0.171642150424777,바텀업,52.7
2024-12,"04 주택, 수도, 전기 및 연료",탑다운,115.33987984283578,115.67,-0.3301201571642167,-0.2853982512010173,탑다운,171.6
2024-12,06 보건,탑다운,104.54046020797638,104.56,-0.0195397920236217,-0.0186876358297836,탑다운,84.0
2024-12,09 오락 및 문화,탑다운,108.37189732680103,108.66,-0.2881026731989493,-0.265141425730673,탑다운,62.9
2024-12,01 식료품 및 비주류음료,바텀업,121.67548589157904,123.61,-1.93451410842097,-1.5650142451427638,바텀업,142.0
2024-12,02 주류 및 담배,바텀업,104.70268285075052,104.58,0.1226828507505217,0.1173100504403535,바텀업,15.8
2024-12,03 의류 및 신발,바텀업,115.43390772084824,115.49,-0.0560922791517555,-0.0485689489581396,바텀업,49.6
2024-12,05 가정용품 및 가사 서비스,바텀업,115.59726442127548,115.84,-0.2427355787245346,-0.209543835224909,바텀업,45.6
2024-12,07 교통,바텀업,114.8526737662678,114.32,0.5326737662678056,0.465949760556163,바텀업,110.60000000000001
2024-12,08 통신,바텀업,101.21314212815696,101.34,-0.1268578718430291,-0.1251804537626101,바텀업,46.6
2024-12,10 교육,바텀업,107.00892046279112,106.74,0.2689204627911294,0.2519397253055363,바텀업,73.9
2024-12,11 음식 및 숙박,바텀업,122.21238249046353,122.18,0.0323824904635046,0.0265039208246068,바텀업,144.7
2024-12,12 기타 상품 및 서비스,바텀업,120.31677063825742,119.71,0.60677063825743,0.5068671274391697,바텀업,52.7
2025-01,"04 주택, 수도, 전기 및 연료",탑다운,115.77970696633608,115.87,-0.0902930336639258,-0.0779261531577853,탑다운,171.6
2025-01,06 보건,탑다운,105.66378380235784,105.42,0.2437838023578393,0.2312500496659451,탑다운,84.0
2025-01,09 오락 및 문화,탑다운,108.99031271920856,109.63,-0.6396872807914491,-0.5834965618821938,탑다운,62.9
2025-01,01 식료품 및 비주류음료,바텀업,124.77633611263632,125.13,-0.3536638873636804,-0.2826371672370178,바텀업,142.0
2025-01,02 주류 및 담배,바텀업,104.69087723809712,104.61,0.0808772380971305,0.0773131040026102,바텀업,15.8
2025-01,03 의류 및 신발,바텀업,115.4591763312146,115.46,-0.0008236687854008,-0.000713380205613,바텀업,49.6
2025-01,05 가정용품 및 가사 서비스,바텀업,115.96380588466651,116.17,-0.2061941153334743,-0.1774934280222728,바텀업,45.6
2025-01,07 교통,바텀업,116.4963807666984,115.62,0.8763807666983894,0.7579837110347599,바텀업,110.60000000000001
2025-01,08 통신,바텀업,101.2262208031958,101.34,-0.1137791968042023,-0.1122747156149618,바텀업,46.6
2025-01,10 교육,바텀업,107.09021270370854,107.17,-0.0797872962914567,-0.0744492827204038,바텀업,73.9
2025-01,11 음식 및 숙박,바텀업,122.44371606381976,122.65,-0.2062839361802417,-0.1681891041012978,바텀업,144.7
2025-01,12 기타 상품 및 서비스,바텀업,120.16447245346936,123.0,-2.835527546530642,-2.305306948398896,바텀업,52.7
2025-02,"04 주택, 수도, 전기 및 연료",탑다운,116.27202038028732,116.47,-0.197979619712683,-0.1699833602753353,탑다운,171.6
2025-02,06 보건,탑다운,105.42739836245504,105.43,-0.00260163754497,-0.0024676444512662,탑다운,84.0
2025-02,09 오락 및 문화,탑다운,109.67539864551934,108.89,0.7853986455193365,0.7212771104043866,탑다운,62.9
2025-02,01 식료품 및 비주류음료,바텀업,126.16583949055706,126.45,-0.2841605094429411,-0.2247216365701393,바텀업,142.0
2025-02,02 주류 및 담배,바텀업,104.73751884673372,104.69,0.0475188467337233,0.0453900532369121,바텀업,15.8
2025-02,03 의류 및 신발,바텀업,115.43829621325465,115.86,-0.4217037867453541,-0.3639770298164631,바텀업,49.6
2025-02,05 가정용품 및 가사 서비스,바텀업,116.50919069175848,116.61,-0.1008093082415229,-0.0864499684774229,바텀업,45.6
2025-02,07 교통,바텀업,117.06014426109724,116.19,0.8701442610972521,0.7488977201973079,바텀업,110.60000000000001
2025-02,08 통신,바텀업,101.23290818017644,101.34,-0.1070918198235517,-0.1056757645782038,바텀업,46.6
2025-02,10 교육,바텀업,107.52059995365951,107.26,0.2605999536595078,0.2429609860707699,바텀업,73.9
2025-02,11 음식 및 숙박,바텀업,122.84438484258273,122.86,-0.0156151574172866,-0.0127097162764827,바텀업,144.7
2025-02,12 기타 상품 및 서비스,바텀업,123.0178286756263,123.07,-0.0521713243736883,-0.0423915855803106,바텀업,52.7
2025-03,"04 주택, 수도, 전기 및 연료",탑다운,116.35628300472972,116.25,0.1062830047297325,0.0914262406277268,탑다운,171.6
2025-03,06 보건,탑다운,105.36728754541316,105.45,-0.0827124545868542,-0.078437605108444,탑다운,84.0
2025-03,09 오락 및 문화,탑다운,108.84997565351588,108.99,-0.1400243464841253,-0.1284744898468899,탑다운,62.9
2025-03,01 식료품 및 비주류음료,바텀업,126.33437701913547,127.26,-0.9256229808645317,-0.7273479340441078,바텀업,142.0
2025-03,02 주류 및 담배,바텀업,104.7437685093804,104.72,0.0237685093804032,0.0226972014709732,바텀업,15.8
2025-03,03 의류 및 신발,바텀업,115.80264027559596,115.87,-0.0673597244040422,-0.0581338779701754,바텀업,49.6
2025-03,05 가정용품 및 가사 서비스,바텀업,117.0384530754257,116.27,0.7684530754257111,0.6609211967194556,바텀업,45.6
