품목코드,품목명,Tier,가중치,변동횟수,최다월,최다월횟수,집중도
K011030,비빔밥,A,2.4,262,1,24,0.0916030534351145
K011040,설렁탕,A,2.0,270,2,25,0.09259259259259259
K011050,갈비탕,A,2.2,274,2,27,0.09854014598540146
K011060,삼계탕,A,2.2,265,7,27,0.1018867924528302
K011070,해물찜,A,4.1,182,2,17,0.09340659340659341
K011080,해장국,A,5.0,166,2,16,0.0963855421686747
K011090,불고기,A,1.1,271,2,25,0.09225092250922509
K011100,쇠고기(외식),A,8.3,291,9,26,0.08934707903780069
K011110,돼지갈비(외식),A,6.1,285,2,26,0.0912280701754386
K011120,삼겹살(외식),A,7.2,283,2,26,0.09187279151943463
K011130,오리고기(외식),A,1.5,178,2,17,0.09550561797752809
K011140,냉면,A,2.4,260,3,27,0.10384615384615385
K011150,칼국수,A,2.7,268,5,26,0.09701492537313433
K011160,죽(외식),A,1.7,15,7,3,0.2
K011170,생선초밥,A,2.7,240,7,24,0.1
K011180,생선회(외식),A,10.3,304,6,27,0.08881578947368421
K011190,자장면,A,2.2,274,2,26,0.0948905109489051
K011200,짬뽕,A,2.4,272,4,27,0.09926470588235294
K011210,탕수육,A,2.1,252,2,26,0.10317460317460317
K011220,볶음밥,A,0.9,264,2,26,0.09848484848484848
K011230,돈가스,A,2.2,276,3,26,0.09420289855072464
K011240,스테이크,A,1.5,278,3,26,0.09352517985611511
K011250,스파게티,A,1.5,233,8,22,0.0944206008583691
K011260,라면(외식),A,0.7,255,5,25,0.09803921568627451
K011270,김밥,A,3.4,236,3,23,0.09745762711864407
K011280,떡볶이,A,3.1,181,2,17,0.09392265193370165
K011290,치킨,A,8.6,265,4,26,0.09811320754716982
K011300,햄버거,A,4.3,76,12,12,0.15789473684210525
K011310,피자,A,4.1,50,2,8,0.16
K011320,쌀국수,A,0.6,72,4,7,0.09722222222222222
K011330,커피(외식),A,8.8,222,2,24,0.10810810810810811
K011340,기타음료(외식),A,0.5,193,1,19,0.09844559585492228
K011350,소주(외식),A,2.5,178,1,20,0.11235955056179775
K011360,맥주(외식),A,4.8,261,3,25,0.09578544061302682
K011370,막걸리(외식),A,0.3,114,2,13,0.11403508771929824
K011380,구내식당식사비,A,11.9,232,3,27,0.11637931034482758
