품목명,Tier,가중치,모델,MAPE%
홍삼,A,1.1,비계절ETS,3.5614864798078236
비타민제,A,1.2,비계절ETS,0.09154316760948107
건강기능식품,A,6.5,비계절ETS,0.38156617855971336
유산균,A,1.2,비계절ETS,0.6229237247291294
병원약품,A,3.5,비계절ETS,0.08880828567286746
종이기저귀,A,1.4,비계절ETS,0.5288205425909553
생리대,A,1.0,비계절ETS,3.153237519390505
마스크,A,1.6,비계절ETS,0.15953195996134423
반창고,A,0.1,비계절ETS,0.1219286376098262
안경,A,1.0,비계절ETS,0.09833001430950805
콘택트렌즈,A,1.4,비계절ETS,0.5208642211036121
의료측정기,A,0.2,비계절ETS,0.21253652399865575
보청기,A,0.6,비계절ETS,0.03335604031171571
건강기기렌탈비,A,1.5,비계절ETS,3.5316622762582566
치료재료,A,1.5,비계절ETS,0.3704485602435883
건강검진비,A,1.2,비계절ETS,0.20234348361324203
치과보철료,A,6.8,비계절ETS,0.2657685105727177
병원검사료,A,1.1,비계절ETS,0.2073518718091331
소형승용차,A,1.0,비계절ETS,0.26366478247650615
중형승용차,A,1.0,비계절ETS,0.5889534199390888
대형승용차,A,3.2,비계절ETS,1.3324926902073344
경승용차,A,0.6,비계절ETS,0.18120184377302342
다목적승용차,A,7.7,비계절ETS,0.2667530003241389
수입승용차,A,9.3,비계절ETS,1.124926795927835
전기동력차,A,5.1,비계절ETS,1.204548734226899
자전거,A,0.5,비계절ETS,0.21768870993908387
자동차용품,A,0.9,비계절ETS,1.394040743530747
블랙박스,A,0.2,비계절ETS,0.5851501509762138
자동차타이어,A,0.9,비계절ETS,0.14201393354780173
자동차수리비,A,6.3,비계절ETS,0.3694325909858889
엔진오일교체료,A,1.0,비계절ETS,1.2737874483221154
세차료,A,0.5,비계절ETS,0.29838663322210063
자동차학원비,A,0.5,비계절ETS,0.1066298686739149
주차료,A,1.2,비계절ETS,0.18500753186079652
승용차임차료,B,3.2,계절ETS,10.339972548275373
대리운전이용료,A,0.4,비계절ETS,0.12605037310469072
자동차검사료,A,0.3,비계절ETS,0.0
국내항공료,B,1.0,계절ETS,4.562992194861423
여객선료,A,0.2,비계절ETS,1.2694017169422227
이삿짐운송료,A,1.0,비계절ETS,0.45291355542983136
택배이용료,A,1.9,비계절ETS,0.10569613452418329
휴대전화기,A,10.4,비계절ETS,0.46828189712827034
휴대전화기수리비,A,0.4,비계절ETS,1.6998081908681693
TV,A,1.9,비계절ETS,1.6801364441479236
영상음향기기,A,0.9,비계절ETS,1.4502697594537246
컴퓨터,A,3.0,비계절ETS,2.1687775973239916
컴퓨터수리비,A,0.1,비계절ETS,1.9308408891825015
휴대용멀티미디어기기,A,1.2,비계절ETS,1.5946350559963929
컴퓨터소모품,A,0.7,비계절ETS,0.8873331737492448
저장장치,A,0.1,비계절ETS,2.9684890931404735
악기,A,0.3,비계절ETS,0.17772920025682745
헬스기구,A,1.1,비계절ETS,1.7938738056300296
장난감,A,2.9,비계절ETS,0.722512163597108
레저용품,A,1.6,비계절ETS,0.7140780957537176
운동용품,A,2.1,비계절ETS,1.9369251972217836
화초,A,0.7,비계절ETS,5.446906465998976
원예용품,A,0.4,비계절ETS,0.2364469017579042
반려동물용품,A,3.3,비계절ETS,0.6760222031410174
반려동물관리비,A,2.6,비계절ETS,0.09474705592309805
수영장이용료,A,0.2,비계절ETS,0.12465379197729705
볼링장이용료,A,0.2,비계절ETS,0.11213972829812374
헬스클럽이용료,A,1.5,비계절ETS,0.13133100362895203
골프연습장이용료,A,2.3,비계절ETS,0.09433368733133135
골프장이용료,A,3.0,비계절ETS,0.512498150470747
당구장이용료,A,0.5,비계절ETS,0.08879898138833496
노래방이용료,A,0.5,비계절ETS,0.1747064511182688
PC방이용료,A,0.3,비계절ETS,0.13586175742539658
놀이시설이용료,A,2.3,비계절ETS,1.7047966911477364
운동경기관람료,A,0.2,비계절ETS,0.4909344609137325
영화관람료,A,1.0,비계절ETS,0.0001208647119415347
