품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
J041010,초등학생학원비,A,7.6,110.64147784683522,0.08956088748185446,110.5877413143461
J041020,중학생학원비,A,13.8,109.87636340284254,0.0,109.87636340284254
J041030,고등학생학원비,A,13.8,108.10327422760145,0.06431664205993097,108.06468424236549
J041040,음악학원비,A,3.0,118.00945807125588,0.11846524424720666,117.93837892470755
J041050,미술학원비,A,2.6,119.67677379730956,0.1307148882201806,119.59834486437745
J041060,운동학원비,A,5.7,122.3114051109273,0.21941408583132946,122.1797566594285
J041070,전산학원비,A,0.5,113.95098094880963,0.0,113.95098094880963
J041080,가정학습지,A,3.5,117.84,0.0,117.84
J041090,이러닝이용료,A,0.7,107.83229440170639,0.0,107.83229440170639
J041100,학교보충교육비,A,1.4,104.9940411201679,0.0,104.9940411201679
J041110,기타학원비,A,0.2,108.35371948295426,0.0,108.35371948295426
J042010,취업학원비,A,2.0,109.97145896743284,0.0,109.97145896743284
J042020,외국어학원비,A,0.5,114.24468121234717,0.12187259639901526,114.17155765450777
J042030,운동강습료,A,3.7,109.55353195303765,0.0,109.55353195303765
K011010,김치찌개백반,A,4.8,128.72275886260527,0.0,128.72275886260527
K011020,된장찌개백반,A,4.3,127.03114404926252,0.0,127.03114404926252
K011030,비빔밥,A,2.4,130.7440812205786,0.0,130.7440812205786
K011040,설렁탕,A,2.0,129.17004241332387,0.0,129.17004241332387
K011050,갈비탕,A,2.2,133.3932344565724,0.0,133.3932344565724
K011060,삼계탕,A,2.2,123.86643565266951,0.0,123.86643565266951
K011070,해물찜,A,4.1,116.23456197604915,0.0,116.23456197604915
K011080,해장국,A,5.0,131.46848340332295,0.0,131.46848340332295
K011090,불고기,A,1.1,123.38003022079833,0.0,123.38003022079833
K011100,쇠고기(외식),A,8.3,120.82651271872501,0.0,120.82651271872501
K011110,돼지갈비(외식),A,6.1,125.22771339086107,0.0,125.22771339086107
K011120,삼겹살(외식),A,7.2,123.61859856266959,0.0,123.61859856266959
K011130,오리고기(외식),A,1.5,122.97145770684956,0.0,122.97145770684956
K011140,냉면,A,2.4,128.6468696043533,0.0,128.6468696043533
K011150,칼국수,A,2.7,131.15804447513315,0.0,131.15804447513315
K011160,죽(외식),A,1.7,125.76,0.0,125.76
K011170,생선초밥,A,2.7,119.07780631718188,0.0,119.07780631718188
K011180,생선회(외식),A,10.3,135.91329240441584,0.0,135.91329240441584
K011190,자장면,A,2.2,136.4624253117302,0.0,136.4624253117302
K011200,짬뽕,A,2.4,131.63126397657126,0.0,131.63126397657126
K011210,탕수육,A,2.1,122.8469918955227,-0.07134655748276704,122.88979983001236
K011220,볶음밥,A,0.9,130.35866547511134,0.0,130.35866547511134
K011230,돈가스,A,2.2,129.943771353402,0.21550296235903943,129.81446957598658
K011240,스테이크,A,1.5,120.1108542441236,0.0,120.1108542441236
K011250,스파게티,A,1.5,119.69274774100877,0.0,119.69274774100877
K011260,라면(외식),A,0.7,133.04651226244496,0.0,133.04651226244496
K011270,김밥,A,3.4,140.20447687107742,0.0,140.20447687107742
K011280,떡볶이,A,3.1,136.56689883120384,0.06925023386522848,136.5253486908847
K011290,치킨,A,8.6,130.35459764192464,0.0,130.35459764192464
K011300,햄버거,A,4.3,133.22734632197438,0.0,133.22734632197438
K011310,피자,A,4.1,119.73448660373258,0.0,119.73448660373258
K011320,쌀국수,A,0.6,127.74405174442467,0.0,127.74405174442467
K011330,커피(외식),A,8.8,111.43,0.0,111.43
K011340,기타음료(외식),A,0.5,107.37966070673805,0.0,107.37966070673805
K011350,소주(외식),A,2.5,115.8,0.0,115.8
K011360,맥주(외식),A,4.8,118.79,0.0,118.79
K011370,막걸리(외식),A,0.3,120.15323014884207,0.0,120.15323014884207
K011380,구내식당식사비,A,11.9,124.29858587745785,0.27148243836647384,124.13569641443797
K011390,도시락,A,0.6,139.89524262582432,0.0,139.89524262582432
K021010,호텔숙박료,A,2.1,133.7670360930487,0.0,133.7670360930487
K021020,여관숙박료,A,1.5,108.67058376001795,0.0,108.67058376001795
K021030,콘도이용료,B,0.8,141.46671956440824,0.0,141.46671956440824
K021040,학교기숙사비,A,0.9,115.46216493363474,0.0,115.46216493363474
K021050,휴양시설이용료,A,1.4,110.58516795468708,0.0,110.58516795468708
L011010,목욕료,A,0.6,135.47471786027654,0.0,135.47471786027654
L011020,찜질방이용료,A,0.6,132.9027192949916,0.0,132.9027192949916
L011030,이발료,A,0.3,118.61097801396178,0.0,118.61097801396178
L011040,미용료,A,7.3,119.28950448832498,0.16033781802200053,119.19330179751178
L011050,뷰티미용료,A,2.2,120.11527999233266,0.0,120.11527999233266
L012010,면도기,A,0.4,123.58993441955255,0.0,123.58993441955255
L012020,헤어드라이어,A,0.7,114.25158514138374,0.0,114.25158514138374
L012030,칫솔,A,0.4,102.11680812118225,0.0,102.11680812118225
L012040,치약,A,0.5,117.13742470291741,0.0,117.13742470291741
L012050,비누,A,0.3,135.1890437730112,0.0,135.1890437730112
L012060,샴푸,A,1.0,143.61065535620386,1.2498198353666414,142.86076345498387
L012070,바디워시,A,0.5,118.36825928451441,0.0,118.36825928451441
L012080,화장지,A,1.3,120.59890596272822,0.0,120.59890596272822
L012090,기초화장품,A,4.5,108.3381180356107,0.0,108.3381180356107
L012100,기능성화장품,A,3.7,130.44527160882515,0.0,130.44527160882515
L012110,색조화장품,A,0.7,108.8611510548875,0.0,108.8611510548875
L012120,모발염색약,A,0.7,120.52357641476121,0.0,120.52357641476121
