품목코드,품목명,가중치,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,정확히0인달수,0.00%반올림달수,전체달수,정확히0_비율
A012030,돼지고기,9.8,,-1.7335473515248778,-5.235217249264945,0.09480306817202244,-2.178405372825898,-2.4821758648006287,-0.10831302464121562,2.8282280654197134,1.898066783831287,7.355984822352535,3.5585187565266185,-3.1182128451752833,2.6901521216973423,-0.054576641197556786,-3.5884234339652044,0.07282142568170169,-0.460866752910738,-3.127284542279263,-1.207445916485006,3.123408589373633,3.4814814814814854,3.340491529467915,1.7624874932655965,3.342913326274388,-0.2122365339578436,-0.27136046938027736,-4.441829680835408,-0.6310604894566696,-1.9129491945477084,1.0343466245558597,-2.149109096592683,1.9886590527913084,4.14252153484731,2.0903827355440274,-0.8912130809457186,-0.7357312722948928,0,0,35,0.0
A012040,닭고기,1.5,,-1.0221835580687233,-2.373104812129212,-0.7352389526596115,-1.972640012092819,0.593677717810337,1.0347206254311292,-0.7055075102412434,-0.909160363664141,-1.4726291441788608,1.557242350731669,-0.03852673755587732,0.22354120095584573,-0.5845254576219205,-3.5123007891072144,0.4890955740859626,2.5452804595867073,0.33457827575473775,0.1706087630864772,1.548347139428663,2.523442860410152,0.20077334919690326,-1.4248608534322749,0.8356545961002659,-0.9481857548156003,-1.3793623275796918,-0.817792723937627,-0.7243584803883762,2.4606070014748127,-0.12121212121212199,2.4954490291262177,3.1377192333308823,-0.09327688885699681,-0.9551852915828829,-2.2115872670582126,-0.9639626279104307,0,0,35,0.0
A012050,소시지,2.0,,-1.1839396019217574,1.7885049487758264,-2.2176731490958668,-0.017445917655267706,0.6630605478973983,-0.5980239209568361,0.87191559857005,-2.990751145302095,0.8821170809943712,-0.2826355767532207,2.6129317980513544,-2.080276219249022,1.6043723554301836,-0.468505986465384,1.263947001394694,-2.152018593440652,-0.9941057446995694,2.0526035187488745,0.03482803656944533,5.518321873095999,-0.6681514476614692,-1.0546420860322203,2.36676458245908,-1.9758957120603382,0.8698561391769832,-4.6185737976782715,3.512127271146648,-0.04199210548416765,0.5713325491514043,0.01670843776107045,0.4761109254928231,0.1330118879374842,-1.3366542133665393,2.196230225513296,1.2021407986825716,0,0,35,0.0
A012060,햄및베이컨,2.7,,-0.23989033584647101,-1.803503950532459,1.4343186986181644,-1.0863942058975784,0.13075313807531241,0.9053712892835408,-1.9842981623673484,2.024469676965057,-0.07764644983176971,-0.975651873596961,-2.641904263667283,2.462833602006098,2.0365352678961557,-0.5310947404488564,0.5080950740613099,0.728300916802338,-0.2807077237155453,4.853706389149526,-1.3342011064106707,1.121372031662271,2.046640574037828,-1.8298042349181087,1.1720657659124223,-2.3330651649235645,2.1993410214167897,-2.7645683888127603,-0.12433687002653127,0.6390571831687453,0.544285007422074,-0.6971784776902967,-2.3622697612951216,2.5970730056678937,3.2651715039577756,0.870328968380707,-0.03957888070925675,0,0,35,0.0
A012070,기타육류가공품,0.9,,0.9667766439039216,0.22038148795500145,0.697603882317277,1.0542168674698704,-1.1475409836065542,0.18845168098899912,0.24076442705589507,0.7055467987690411,-3.0185585451293018,2.0212111896710683,-0.8738229755178906,-0.151987233072437,1.4765202831265922,-0.6975174379359572,-0.2341389728096721,0.31039442804148276,0.15849056603773892,1.6125386180393164,0.1631442343344558,-0.4145998371214987,0.9590365028622649,-1.995581737849783,0.20287023818470473,-0.0899820035992871,-4.202942059441616,2.5070510811657787,2.117089575053499,2.0282912955617016,1.1517018779342747,1.0878236275291941,0.595451610589004,-3.2734274711168188,0.36127700361276993,1.2121657361152005,0.22501270232997417,0,0,35,0.0
A013110,마른멸치,0.5,,-1.3674743024963298,0.7816134735274982,0.9417412981257423,-0.9695417543217788,1.3946614944121194,-0.3734742211696118,0.9143275121148431,0.25369212648365114,-0.027112516945326792,0.6327969625745666,0.4491555874954978,-0.49186192094436976,0.4313831221353537,0.10738255033557742,-0.21453472780906813,-0.8062348830959354,0.6050754086516674,-0.27827648114900905,-0.24304617877397572,0.8211514167117961,-0.7876129956144395,0.2976995940460192,-0.17089404569168298,0.36039282818272067,-0.42194092827003704,-0.3155427335016281,0.12661662295379017,0.39743473940927476,0.31488978857399097,0.4125560538116524,-0.5269739192568679,-1.310945496992011,0.6004913110726928,-0.5155105363118362,0.7818181818181724,0,0,35,0.0
A013120,마른오징어,0.2,,3.3757609297177638,0.026766595289084982,1.2666131478012765,1.479785078833773,1.0502560541619799,0.22332932485826795,-0.5913609873157477,-0.6035003017501372,0.6158383207563567,2.4310344827586094,0.6143746843965792,0.5520702634880692,1.5888861159637502,-0.8024893547330492,1.1061581641076401,-0.1387981711299835,1.0710489739187423,0.6066979453162924,-0.07236471817962942,0.3540392661731451,0.42495189223861196,1.1576846307385313,-0.8366219415943177,0.0079592486469382,-1.0982888977318028,0.35406775569324367,0.19244647582392638,1.1364545818327354,-0.12661232887553053,0.7210205213532994,0.0,0.039332913782241796,0.11008885743493124,-0.7147906684470962,0.10284810126581778,1,1,35,2.857142857142857
A013140,오징어채,0.2,,0.11895321173671647,-0.5049504950495054,0.4080007960991283,0.009910802775014993,1.199088296501838,1.0379945162553916,0.0,1.1630160883892016,1.3029315960912058,2.004917722716093,-0.04635638791025132,2.439476857434375,4.90764215863817,2.761954082513385,1.4530488829161747,2.665783591356896,6.31400693492461,9.830097087378654,4.654696132596681,3.6360036953939634,0.09551098376312517,-1.978371501272258,-0.8241936530599014,-0.41224970553591644,-0.9856100926473488,-0.517618952817045,0.18010806483890196,-0.30629910773738445,-1.7298958055036118,-0.4825664378440897,-0.867367845922673,-0.5580434033758186,0.06928086462518745,-1.0177236222652986,-2.7068615793523154,1,1,35,2.857142857142857
A013150,북어채,0.4,,-0.21983596854653342,-1.0846538428946673,0.5996744624346739,0.2639870561185198,0.11890606420927874,-0.576857821513399,-0.5631399317406083,0.22309936502487027,-0.1027397260273899,1.2941378128213943,0.9053219392503697,-1.3332215327855113,-0.4589105124500725,1.8697174080081869,-0.5531344284277595,-0.42979942693408546,0.17774016081251176,0.7941872254140003,0.00838222967309843,-1.7936468024474017,2.0739097038491083,-0.29264214046822445,1.132075471698113,0.07462686567163423,-0.480570055514129,4.537507284988762,4.953806944886896,1.8288055850660179,0.5067441687160112,1.119596648624599,1.4298284205895406,-1.5831706788115518,2.4313206992801595,-0.6382215847974049,-1.1258660508083107,0,0,35,0.0
A013160,어묵,0.8,,-2.3728813559322104,2.4691358024691468,-2.853915662650619,-0.9146577784667764,-0.1408120159586912,-0.5092048570309538,1.1181102362204598,-1.7364896433577193,-0.6973611221174347,-0.8698427898810923,1.4087908549347938,-1.2701436850043657,-0.7316877060384419,0.3482909444354476,0.2502219711034037,1.449275362318847,1.4206349206349334,-2.777995148290169,0.20122343850612623,4.281468391035426,0.5392081343398747,0.2375114924915822,-1.8726591760299782,1.191774419691538,-0.900623508582854,-1.6078918750971005,0.8526091418646908,-0.6653620352250478,-0.7801418439716379,1.9696608688745787,-2.0718124464522036,0.7953551260637903,5.105342065809193,1.1711711711711814,-3.7399821905609865,0,0,35,0.0
