품목코드,품목명,Tier,가중치,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A017290,맛김,A,0.5,130.67031531088654,132.42,132.57616324732834,131.95,132.421053009321,132.06,132.32584369432146,133.92,134.01986166085067,131.58,132.05865162920276,131.97,131.87225902548136,136.36
A017300,미역,A,0.3,132.38720489143827,132.4,132.79182133331852,132.7,133.0615929353482,133.03,133.37146693563372,132.98,133.24900958446935,133.35,133.62206020579512,135.48,136.0038281344377,137.37
A018010,초콜릿,A,0.5,164.81525494698693,163.86,164.9601447356287,162.53,163.508695916591,163.45,164.42124107801558,163.38,164.3020436405583,163.52,164.40570484014108,162.9,163.7226891081671,163.04
A018020,사탕,A,0.8,115.21747236453528,116.39,116.00886097348022,115.02,115.4316525507831,111.16,112.70721429696512,115.73,114.7360113783684,115.83,115.50923015985067,117.01,116.54777695816483,117.1
A018030,껌,A,0.1,116.98771924115331,116.52,116.730520141106,116.62,116.7231382590942,116.1,116.33697114261635,116.64,116.61403290533622,116.74,116.76567522289257,116.73,116.79995381137435,115.4
A018040,아이스크림,A,2.6,128.56598671920185,128.02,127.99980520474,128.1,128.09682515051102,128.9,129.13909134133579,128.31,128.30188918868623,128.96,129.17301424453908,129.1,129.30560305080922,128.93
A018050,비스킷,A,1.9,134.64624015199814,133.43,133.7396722982481,134.07,134.270303013493,134.39,134.6062446156048,134.08,134.33619726528414,133.75,134.00075713716734,134.29,134.4805172456691,135.57
A018060,스낵과자,A,2.9,118.8899744448182,119.2,119.23281241292766,119.32,119.39521477747067,119.33,119.43402383966509,119.03,119.1985412011745,118.94,119.07998174052199,118.66,118.83030741284121,118.93
A018070,파이,A,0.6,115.9672560615118,116.62,116.6667635039983,116.19,116.23903446946855,116.47,116.50702067756258,116.03,116.05933093066314,116.49,116.5131759484183,116.55,116.58366438250805,117.03
A018080,설탕,A,0.3,147.36269911470046,148.03,148.08907613459874,147.97,148.00380490948768,142.1,141.33231855521893,141.67,141.07347176665573,140.29,139.67257129038558,141.04,140.70614204242273,142.94
A018090,잼,A,0.1,169.56686946860736,167.97,168.71248867662752,164.96,165.77852230682097,164.95,165.50391660718444,162.85,163.4857183925888,171.41,171.23642990979127,171.7,172.2471414550692,171.81
A018100,꿀,A,0.4,116.47415309612575,116.22,116.15173133476677,116.79,116.95491773414736,117.0,117.14747209868322,116.77,116.7582948744327,116.79,116.79152523342903,116.93,116.97875300230349,116.92
A018110,물엿,A,0.2,138.90644196450697,140.79,140.23455596297282,125.43,130.68665191876713,138.95,135.1139170515907,138.52,136.95244316495672,135.73,136.20519459998278,139.07,137.8409168348587,139.04
A019010,고춧가루,A,1.6,115.61380421514401,115.07,115.35476202371896,115.04,115.04660335358568,114.97,114.92144508513299,114.95,114.93122421115645,114.96,114.96520263996473,115.08,115.16484110472594,115.12
A019020,참깨,A,0.6,134.64867911986605,134.73,134.99953991762442,134.67,134.9297988891689,135.8,136.07917160392316,135.39,135.65119210100946,135.6,135.8587208334984,135.81,136.06628943840062,137.33
A019040,소금,A,0.2,175.8546146793203,176.28,176.32663130802803,176.33,176.3737352973096,175.53,175.189031730136,175.69,175.6306707425114,176.09,176.25240824935125,176.52,176.77398636543614,176.88
A019050,간장,A,0.4,129.6431453842314,136.91,137.20811017073635,138.71,139.04156597790922,139.19,139.52636439290777,140.18,140.5299925767872,142.43,142.83317551226844,140.83,141.17138917566155,142.4
A019060,된장,A,0.4,126.81729269459434,140.06,137.90933391979462,136.78,137.06518261385725,138.63,138.44013946576155,134.28,135.17150728251104,140.08,139.1774947091653,142.35,141.83638149244845,140.17
A019070,양념소스,A,0.5,139.26899936250447,137.08,138.5863601907829,130.36,134.58631019003872,136.76,135.65805960902665,139.19,137.31599297415218,138.17,137.78422884010448,140.29,139.28500726160772,142.25
A019080,고추장,A,0.3,134.5520792707021,144.31,142.02982315182237,137.45,138.71247052035463,137.22,137.7116850121921,142.16,141.07545530981037,141.9,141.7832455133161,141.66,141.79283256160062,141.63
A019090,카레,A,0.2,131.35129509044472,131.39,131.47490985125378,129.78,129.93152508880834,129.71,129.80323885377695,128.52,128.65260379388025,127.74,127.85613072499977,128.85,128.8954633272797,130.81
A019100,식초,A,0.1,148.59629038455688,147.34,148.1757140588134,148.81,149.15694828185067,148.61,149.25854870161885,147.71,148.58435819215376,148.84,149.24137254377516,147.91,148.7016209764888,147.86
