품목코드,품목명,Tier,가중치,모델,pred_2026-09,보정치(레벨),보정후_pred_2026-09
F012040,반창고,A,0.1,비계절ETS,103.27354416867178,-0.1722990410350178,103.37692359329279
F012050,안경,A,1.0,비계절ETS,101.91077857733461,0.0,101.91077857733461
F012060,콘택트렌즈,A,1.4,비계절ETS,106.33486534285571,0.0,106.33486534285571
F012070,의료측정기,A,0.2,비계절ETS,99.71869628715677,0.0,99.71869628715677
F012080,보청기,A,0.6,비계절ETS,102.91421490428135,0.0,102.91421490428135
F012090,건강기기렌탈비,A,1.5,비계절ETS,119.89867137394813,0.0,119.89867137394813
F012100,치료재료,A,1.5,비계절ETS,101.87000018171567,0.0,101.87000018171567
F021020,건강검진비,A,1.2,계단평균(검증됨),108.66775561051455,-0.1613616857147401,108.76457262194339
F022020,치과보철료,A,6.8,비계절ETS,107.40558149579354,-0.2608982565202993,107.56212044970572
F031020,병원검사료,A,1.1,완전동결(검증됨),63.4,0.0,63.4
G011010,소형승용차,A,1.0,비계절ETS,108.04120633449347,0.0,108.04120633449347
G011020,중형승용차,A,1.0,비계절ETS,104.4016734433077,0.0,104.4016734433077
G011030,대형승용차,A,3.2,비계절ETS,115.50066376634715,0.0,115.50066376634715
G011040,경승용차,A,0.6,비계절ETS,108.3660263331293,0.0,108.3660263331293
G011050,다목적승용차,A,7.7,비계절ETS,113.39711100019005,0.0,113.39711100019005
G011060,수입승용차,A,9.3,비계절ETS,107.57038815322227,0.0,107.57038815322227
G011070,전기동력차,A,5.1,비계절ETS,109.03417063938792,0.0,109.03417063938792
G011080,자전거,A,0.5,비계절ETS,139.55263627392313,-0.4198931739980433,139.80457217832196
G022010,자동차용품,A,0.9,비계절ETS,116.7395734217897,-0.24010711762604586,116.88363769236533
G022020,블랙박스,A,0.2,비계절ETS,102.828493834703,-0.35830143952862414,103.04347469842017
G022030,자동차타이어,A,0.9,비계절ETS,121.03373854483371,0.0,121.03373854483371
G022040,자동차수리비,A,6.3,계단평균(검증됨),125.19809260958678,0.0,125.19809260958678
G022050,엔진오일교체료,A,1.0,계단평균(검증됨),158.56129741632893,0.0,158.56129741632893
G022060,세차료,A,0.5,비계절ETS,141.73957654588025,0.0,141.73957654588025
G023010,자동차학원비,A,0.5,비계절ETS,116.38514321505221,0.0,116.38514321505221
G023020,주차료,A,1.2,비계절ETS,113.12330736195797,0.099762717764681,113.06344973129916
G023040,승용차임차료,B,3.2,계절ETS,95.61650796097008,0.0,95.61650796097008
G023050,대리운전이용료,A,0.4,비계절ETS,138.56051412952633,0.0,138.56051412952633
G023060,자동차검사료,A,0.3,비계절ETS,100.0,0.0,100.0
G033010,국내항공료,B,1.0,계절ETS,118.5468607142669,0.0,118.5468607142669
G033030,여객선료,A,0.2,비계절ETS,133.02177717334578,0.0,133.02177717334578
G034010,이삿짐운송료,A,1.0,계단평균(검증됨),137.5757058154704,0.0,137.5757058154704
G034020,택배이용료,A,1.9,비계절ETS,114.67192346378431,0.0,114.67192346378431
H021010,휴대전화기,A,10.4,비계절ETS,103.28467721801158,-0.4010490890498441,103.52530667144148
H031040,휴대전화기수리비,A,0.4,비계절ETS,109.96281169210782,0.0,109.96281169210782
I011010,TV,A,1.9,비계절ETS,88.38979692216535,-1.1714403635240653,89.09266114027979
