품목코드,품목명,Tier,가중치,pred,pred_corr
A018080,설탕,A,0.3,146.8137592401063,146.8137592401063
A018090,잼,A,0.1,154.45488332227876,154.45488332227876
A018100,꿀,A,0.4,115.48956663979413,115.48956663979413
A018110,물엿,A,0.2,140.47177393331893,140.47177393331893
A019010,고춧가루,A,1.6,114.37,114.37
A019020,참깨,A,0.6,133.54367777244497,133.54367777244497
A019040,소금,A,0.2,176.51799597934166,176.51799597934166
A019050,간장,A,0.4,128.87195579589869,128.87195579589869
A019060,된장,A,0.4,128.31897080442783,128.31897080442783
A019070,양념소스,A,0.5,122.55061484038475,122.55061484038475
A019080,고추장,A,0.3,121.54566817699599,121.54566817699599
A019090,카레,A,0.2,130.02484441903852,130.02484441903852
A019100,식초,A,0.1,136.3667949201854,136.3667949201854
A019110,드레싱,A,0.2,151.34026833130005,151.34026833130005
A019120,혼합조미료,A,0.3,131.02170150254346,131.02170150254346
A019130,스프,A,0.3,129.64241561350323,129.64241561350323
A019140,이유식,A,0.3,111.14818547600487,111.14818547600487
A019150,김치,A,1.3,134.17845652384057,134.17845652384057
A019160,밑반찬,A,3.1,113.13474117157033,113.13474117157033
A019170,냉동식품,A,1.9,116.56245222586385,116.56245222586385
A019180,즉석식품,A,3.1,122.61099945162952,122.61099945162952
A019190,편의점도시락,A,0.4,113.29084016910996,113.29084016910996
A019200,삼각김밥,A,0.4,111.0257786630484,111.0257786630484
A021010,커피,A,2.6,132.49771392782822,132.49771392782822
A021020,차,A,0.9,128.04114293486353,128.04114293486353
A022010,주스,A,1.4,130.0536067382401,130.0536067382401
A022020,두유,A,0.8,126.40415893497084,126.40415893497084
A022030,생수,A,1.3,113.57154989600849,113.57154989600849
A022040,기능성음료,A,0.5,114.72921847688413,114.72921847688413
A022050,탄산음료,A,1.6,116.08443001757884,116.08443001757884
A022060,기타음료,A,0.6,123.58115730565666,123.58115730565666
B011010,소주,A,1.7,108.35152264056252,108.35152264056252
B011020,과실주,A,0.8,103.12543238037429,103.12543238037429
B011030,맥주,A,3.0,112.90917406920445,112.90917406920445
B011040,막걸리,A,0.5,122.9328081658551,122.9328081658551
B011050,양주,A,0.4,118.69224192789454,118.69224192789454
B011060,약주,A,0.1,104.8269281112372,104.8269281112372
C011010,남자외의,A,4.4,119.29,119.29
C011020,남자상의,A,1.5,110.72792850082148,110.72792850082148
C011030,남자하의,A,1.3,121.4824915509744,121.4824915509744
C011040,남자내의,A,0.7,109.3539292862717,109.3539292862717
C012010,여자외의,A,6.2,111.23947747589787,111.23947747589787
C012020,원피스,A,1.8,126.74377543012376,126.74377543012376
C012030,여자상의,A,1.5,114.44250286580832,114.44250286580832
C012040,여자하의,A,2.4,119.06743130860497,119.06743130860497
C012050,여자내의,A,1.8,108.39420918116066,108.39420918116066
C013010,점퍼,A,3.3,113.21604792887005,113.21604792887005
C013020,티셔츠,A,4.6,124.03547028523798,124.03547028523798
C013030,스웨터,A,0.6,119.72794418588043,119.72794418588043
C013040,청바지,A,1.6,118.40195261186516,118.40195261186516
C013050,운동복,A,2.3,105.04,105.04
C013060,등산복,A,0.5,103.463405778019,103.463405778019
C014010,유아동복,A,4.6,117.2494631494133,117.2494631494133
C015010,양말,A,0.9,104.26827826765609,104.26827826765609
C015020,모자,A,0.6,113.34407587628672,113.34407587628672
C015030,장갑,A,0.2,148.38736241550052,148.38736241550052
C016010,의복수선료,A,0.2,120.44592291303526,120.44592291303526
C016020,세탁료,A,1.1,129.12711026426,129.12711026426
C021010,아동화,A,0.9,116.07078462649194,116.07078462649194
C021020,구두,A,2.0,113.86,113.86
C021030,운동화,A,4.4,107.8,107.8
C021040,실내화,A,0.2,126.0049058385304,126.0049058385304
D011010,전세,A,54.2,104.70279730064398,104.70279730064398
D011020,월세,A,44.9,103.92731503410161,103.92731503410161
D031010,주택수선재료,A,3.4,119.77840894954969,119.77840894954969
D031020,설비수리비,A,5.9,120.11157765074363,120.11157765074363
D041010,상수도료,A,4.5,113.01817663114169,113.01817663114169
D042010,공동주택관리비,A,21.8,123.34186359949886,123.34186359949886
E011010,장롱,A,1.3,120.96,120.96
E011020,침대,A,2.7,125.3,125.3
E011030,거실장,A,0.4,122.58328567701058,122.58328567701058
E011040,소파,A,1.3,126.62626537844896,126.62626537844896
E011050,책상,A,0.4,113.58946450429256,113.58946450429256
E011060,의자,A,0.4,114.16815443265335,114.16815443265335
E011070,식탁,A,0.9,122.71044572788928,122.71044572788928
E011080,싱크대,A,1.3,152.71993177658933,152.71993177658933
E021010,침구,A,2.6,111.15,111.15
E021020,커튼,A,0.4,106.9012807658902,106.9012807658902
E031010,전기밥솥,A,0.5,103.23559179721133,103.23559179721133
E031020,가스레인지,A,0.4,106.14433591315004,106.14433591315004
E031030,전자레인지,A,0.1,97.00698279652491,97.00698279652491
E031040,전기레인지,A,0.2,107.4149157115097,107.4149157115097
E031050,냉장고,A,2.4,99.49030759099335,99.49030759099335
E031060,김치냉장고,A,1.1,104.05927937387241,104.05927937387241
E031070,에어컨,A,1.5,106.26995212724056,106.26995212724056
E031080,선풍기,A,0.4,93.36113175418896,93.36113175418896
E031090,공기청정기,A,0.6,92.10924882884143,92.10924882884143
E031100,세탁기,A,1.0,94.44866710889389,94.44866710889389
E031110,의류건조기,A,1.1,101.82653433217308,101.82653433217308
E031120,식기세척기,A,0.2,99.99008391790622,99.99008391790622
E031130,청소기,A,1.1,98.05577832386496,98.05577832386496
E031140,소형주방가전,A,0.8,109.09979671568598,109.09979671568598
E031150,보온매트,A,0.4,109.43509498119853,109.43509498119853
E032010,가전제품수리비,A,2.4,127.27464546326193,127.27464546326193
E032020,가전제품렌탈비,A,2.5,93.94970510613452,93.94970510613452
E041010,식기,A,0.8,123.12720285719473,123.12720285719473
E041020,컵,A,0.5,101.94132409710804,101.94132409710804
E041030,솥,A,0.2,120.5889080744312,120.5889080744312
E041040,프라이팬,A,0.6,119.27193055721924,119.27193055721924
E041050,냄비,A,0.5,119.39139505983678,119.39139505983678
E041060,수저,A,0.3,111.05739728635774,111.05739728635774
E041070,밀폐용기,A,0.7,125.85764809675456,125.85764809675456
E041080,부엌용용구,A,0.4,119.1175530805614,119.1175530805614
E051010,보일러,A,1.5,120.82942245122149,120.82942245122149
E051020,건전지,A,0.3,135.4260159549256,135.4260159549256
E051030,소형가사용품,A,1.3,108.9327404996891,108.9327404996891
E061010,세탁세제,A,1.7,130.28802171353686,130.28802171353686
E061020,섬유유연제,A,0.1,143.16727123946,143.16727123946
E061030,전구,A,0.2,106.38717514223227,106.38717514223227
E061040,부엌용세제,A,0.6,119.39184194350283,119.39184194350283
E061050,청소용세제,A,0.2,128.7650934706068,128.7650934706068
E061060,살충제,A,0.3,131.70832706546184,131.70832706546184
E061070,가정용비닐용품,A,0.6,132.5447059868312,132.5447059868312
E061080,키친타월,A,1.0,130.81921264755817,130.81921264755817
E061090,방향제,A,0.3,131.0186138830915,131.0186138830915
E061100,습기제거제,A,0.1,148.65734268073737,148.65734268073737
E062010,가사도우미료,A,2.4,117.81303584466288,117.81303584466288
E062020,간병도우미료,A,2.6,135.34343783079913,135.34343783079913
F011010,감기약,A,0.4,127.05929175645052,127.05929175645052
