품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,pred_2025-09,actual_2025-09,pred_2025-10,actual_2025-10,pred_2025-11,actual_2025-11,pred_2025-12,actual_2025-12,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A013170,맛살,A,0.2,비계절ETS,143.7430260795112,141.36,142.5440715752511,141.93,142.45577471145077,138.96,140.0785299553152,142.72,142.1190490080436,143.62,143.46580778149897,142.83,143.2843769625938,136.33,138.30309650317875,140.86,139.9475355529201,144.87,143.54556369477612,145.37,145.186023967048,146.07,146.17463268314032,148.12
A013180,수산물통조림,A,0.7,비계절ETS,123.63744325067069,122.77,122.95450948128773,123.76,124.0194705927111,124.09,124.35244466905262,124.0,124.231957969543,123.64,123.81893165725866,124.23,124.44236892974449,124.89,125.13475667431797,125.11,125.35050234564268,125.2,125.42727829619554,125.1,125.30086843363756,125.49,125.70253085487653,126.69
A013190,젓갈,A,0.7,비계절ETS,114.3953598918531,114.73,114.95975832870538,115.0,115.2481986574009,115.2,115.45146977720427,113.76,114.07570839309287,113.08,113.32294669895403,118.92,118.72006046635558,120.91,121.19758756620995,120.88,121.22623970965218,122.82,123.15586017603991,123.64,124.04261065168326,124.15,124.5704239110803,124.83
A014010,우유,A,3.4,비계절ETS,124.35303887460304,124.36,124.5223770866673,124.34,124.49761663378808,124.41,124.56498798563449,124.23,124.37678322776443,124.26,124.40356850594526,124.43,124.5734195695059,124.13,124.2622518145579,124.69,124.83110556955073,124.18,124.26469662846719,124.28,124.36427997661009,124.54,124.67477207308127,124.55
A014020,분유,A,0.5,비계절ETS,112.411488754751,111.83,112.0719978335151,111.47,111.71943245233079,111.44,111.57188199142634,112.59,112.25025561746371,114.01,113.40304199365082,113.46,113.47017827417764,113.92,113.78784722828182,113.32,113.52001271651507,113.77,113.70972869698265,114.09,113.98246329126079,112.95,113.35451041340713,113.32
A014030,치즈,A,0.7,비계절ETS,142.4814903624092,142.91,143.11585620695647,143.17,143.34538953319927,144.46,144.8211405062226,145.28,145.6609098230597,145.3,145.5326604683688,145.42,145.58378216352125,145.22,145.27893800174851,145.09,145.09968050895435,144.56,144.46052434672322,145.16,145.2190971556818,144.65,144.58484867896576,144.82
A014040,발효유,A,2.0,비계절ETS,129.02672278832023,127.83,128.24288677687693,129.41,129.60081834992283,127.93,128.3931659661277,127.5,127.84840333559252,127.83,128.08396425183153,128.27,128.5043000316606,128.2,128.47993322807577,128.57,128.80802385214312,128.24,128.53690676806312,128.07,128.34584514079205,128.07,128.3195569943194,128.04
A014050,달걀,A,3.0,비계절ETS,144.9070399555678,145.31,145.42665005076415,145.9,146.01629344550088,144.62,144.73505045713955,144.25,144.36424770570113,143.52,143.63328447338571,142.34,142.45212430546815,141.55,141.66115381773167,142.2,142.31083967087457,145.81,145.92184346605978,153.62,153.7346753729164,157.16,157.27559487772098,155.63
A015010,참기름,A,0.6,비계절ETS,152.01077129378393,151.95,152.52379465511964,150.73,151.5085292669327,149.44,150.20348371042826,151.86,152.13237810848346,152.16,152.6615593092201,150.01,150.83839204350292,146.68,147.23021728455507,146.4,146.41693808005067,152.9,152.52196419042764,148.21,148.9438517436704,153.82,153.52779269765395,153.12
A015020,식용유,A,0.8,비계절ETS,159.6400853680268,162.72,161.57130166656162,164.87,163.91098618167265,159.31,159.804234179838,160.88,160.22739571757805,153.16,154.03328611536583,156.18,155.1045132384713,154.95,154.44054286123944,168.64,165.59793428323127,158.11,159.68295353489037,153.4,154.51113360171163,152.92,152.84553091749652,157.96
