품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
소시지,A,2.0,비계절ETS,1.3185368048674164,A012050,01 식료품 및 비주류음료
햄및베이컨,A,2.7,비계절ETS,1.6110119389335036,A012060,01 식료품 및 비주류음료
기타육류가공품,A,0.9,비계절ETS,1.6372247482668911,A012070,01 식료품 및 비주류음료
마른멸치,A,0.5,비계절ETS,0.4852796360359657,A013110,01 식료품 및 비주류음료
마른오징어,A,0.2,비계절ETS,0.5795141480091667,A013120,01 식료품 및 비주류음료
오징어채,A,0.2,비계절ETS,0.4762934859336032,A013140,01 식료품 및 비주류음료
북어채,A,0.4,비계절ETS,1.5248210985274415,A013150,01 식료품 및 비주류음료
어묵,A,0.8,비계절ETS,1.5891348473592135,A013160,01 식료품 및 비주류음료
맛살,A,0.2,비계절ETS,1.7885768245055964,A013170,01 식료품 및 비주류음료
수산물통조림,A,0.7,비계절ETS,0.349860551324654,A013180,01 식료품 및 비주류음료
젓갈,A,0.7,비계절ETS,0.9583406014210548,A013190,01 식료품 및 비주류음료
우유,A,3.4,비계절ETS,0.1738131902123759,A014010,01 식료품 및 비주류음료
분유,A,0.5,비계절ETS,0.509503457937058,A014020,01 식료품 및 비주류음료
치즈,A,0.7,비계절ETS,0.2952219262165085,A014030,01 식료품 및 비주류음료
발효유,A,2.0,비계절ETS,0.4627248318253971,A014040,01 식료품 및 비주류음료
달걀,A,3.0,비계절ETS,1.2553705229408574,A014050,01 식료품 및 비주류음료
참기름,A,0.6,비계절ETS,1.6232246432966635,A015010,01 식료품 및 비주류음료
식용유,A,0.8,비계절ETS,2.9224107920840487,A015020,01 식료품 및 비주류음료
아몬드,A,0.2,비계절ETS,0.2925755076985972,A016190,01 식료품 및 비주류음료
과일가공품,A,1.0,비계절ETS,1.3815903446983449,A016200,01 식료품 및 비주류음료
고사리,A,0.1,비계절ETS,0.330039789657486,A017250,01 식료품 및 비주류음료
단무지,A,0.2,비계절ETS,2.015725348708366,A017270,01 식료품 및 비주류음료
