품목코드,품목명,Tier,가중치,MAPE_비계절ETS,MAPE_계절ETS,MAPE_계단평균,MAPE_완전동결,최선방식,상대개선,채택방식
K011140,냉면,A,2.4,0.141356841047235,0.11455347027615032,0.15737193286596496,0.2534008016835169,계절ETS,0.18961495299776984,계절ETS
K011150,칼국수,A,2.7,0.14699099842308216,0.14502628502631032,0.2040698836433984,0.2658917936659108,계절ETS,0.013366215740074348,비계절ETS
K011160,죽(외식),A,1.7,0.3991128279607256,0.4126407441394226,0.5206583013047891,0.2983915934757438,완전동결,0.25236280928282573,완전동결
K011170,생선초밥,A,2.7,0.14169376307472234,0.1390875690374871,0.17178860892683936,0.21679809271672504,계절ETS,0.018393145758016673,비계절ETS
K011180,생선회(외식),A,10.3,0.2120383303614404,0.23343997426482196,0.33328107108285565,0.3904854046008004,비계절ETS,0.0,비계절ETS
K011190,자장면,A,2.2,0.207145933062721,0.19542101491914562,0.2610023297440141,0.37060633809389715,계절ETS,0.05660221260547378,비계절ETS
K011200,짬뽕,A,2.4,0.19850750847560175,0.16720106795714687,0.20453542943337402,0.36236779533129143,계절ETS,0.15770910006813524,계절ETS
K011210,탕수육,A,2.1,0.14889245159047731,0.1474101902447009,0.15955089399710787,0.23956430658644087,계절ETS,0.009955248435651527,비계절ETS
K011230,돈가스,A,2.2,0.18167587481813144,0.1647944269470381,0.21397531784403434,0.2846551147476597,계절ETS,0.09292069124749053,비계절ETS
K011240,스테이크,A,1.5,0.1554254188019474,0.16451347942949007,0.22698850329902817,0.1940906389990284,비계절ETS,0.0,비계절ETS
K011250,스파게티,A,1.5,0.14334783176814522,0.1487887031742277,0.18434334112531559,0.21595409635914126,비계절ETS,0.0,비계절ETS
K011270,김밥,A,3.4,0.1655005304204258,0.15240038041033338,0.20388220821687042,0.35186619726249874,계절ETS,0.07915473126771098,비계절ETS
K011280,떡볶이,A,3.1,0.16910361383371286,0.16625305642832838,0.21846882386976266,0.3312612466892068,계절ETS,0.0168568686426037,비계절ETS
K011290,치킨,A,8.6,0.2303647074433885,0.2263194073397993,0.3041971183580781,0.26931955992020923,계절ETS,0.017560416039784723,비계절ETS
K011300,햄버거,A,4.3,1.0072862909011688,1.000124422907204,1.6808608505546099,0.9071087043671971,완전동결,0.09945294345696673,비계절ETS
K011310,피자,A,4.1,0.7084462410059363,0.8167919489290576,1.055888129751802,0.716520143168379,비계절ETS,0.0,비계절ETS
K011330,커피(외식),A,8.8,0.4069798167833374,0.40513182579638146,0.4176649550626063,0.33847544830255744,완전동결,0.16832374888322635,완전동결
K011350,소주(외식),A,2.5,0.297808634983569,0.3152634064526717,0.32011886101965636,0.24604044601729327,완전동결,0.17383038261846218,완전동결
K011360,맥주(외식),A,4.8,0.23652862099885627,0.2192461278260774,0.288614998286926,0.19025166308471117,완전동결,0.19565056321183588,완전동결
K011380,구내식당식사비,A,11.9,0.17933717075730582,0.14838654158518425,0.2203428398331686,0.17555044953742885,계절ETS,0.17258345852911092,계절ETS
K021010,호텔숙박료,A,2.1,5.276325749438183,3.399095088785174,2.9993750458371706,5.629990407879481,계단평균,0.43154096462741326,계단평균
K021020,여관숙박료,A,1.5,0.34991927000481726,0.3143767491262647,0.27943956737761944,0.3453554002840894,계단평균,0.2014170372104044,계단평균
K021050,휴양시설이용료,A,1.4,5.420949777002171,2.149434857078406,2.3836507837182377,5.477422155966791,계절ETS,0.6034947849549972,계절ETS
L011040,미용료,A,7.3,0.16752932276402663,0.14927022342095303,0.1438445797816604,0.23748986857668192,계단평균,0.14137670105505865,비계절ETS
L011050,뷰티미용료,A,2.2,0.18016643586962364,0.16455424693675924,0.17767772286758113,0.2188247345155515,계절ETS,0.08665425864427968,비계절ETS
L012060,샴푸,A,1.0,2.139280611061673,2.2106557150885005,2.7215335572585633,1.8701848340112903,완전동결,0.12578797548061593,비계절ETS
L012080,화장지,A,1.3,1.0024706479209236,1.1457741351197006,1.2004596005526986,0.9134507057977362,완전동결,0.08880054723578236,비계절ETS
L012090,기초화장품,A,4.5,1.0186602508438107,1.071620503973425,0.9724747694991968,0.911567192261878,완전동결,0.1051312824793368,비계절ETS
L012100,기능성화장품,A,3.7,0.4404075682291158,0.6533414848507373,1.0696224187033467,0.40592592784009873,완전동결,0.0782948406805727,비계절ETS
L021020,장신구,A,1.0,0.6939770732927453,0.7722676711252693,0.9480656791882319,0.5990204380408841,완전동결,0.1368296430908243,비계절ETS
L021030,가방,A,2.7,0.26564317099107293,0.7669146900562345,0.41609800105287476,0.1034793582116461,완전동결,0.6104572994457909,완전동결
L021040,핸드백,A,1.4,1.0910620902764743,1.6644660723175437,2.6530339117167347,1.1101262379721335,비계절ETS,0.0,비계절ETS
L031040,보험서비스료,A,8.6,1.4643694404846088,0.8838206296423426,0.40398816066606424,1.059097713513722,계단평균,0.7241214207991318,계단평균
L031050,자동차보험료,A,3.7,0.13273649685936934,0.2334243641692041,0.18459110073100019,0.08640017500491558,완전동결,0.34908501392458635,완전동결
L031110,장례비,A,2.6,0.11995540751600267,0.1165514103954572,0.1169097336507436,0.11255380525754008,완전동결,0.06170294788482278,비계절ETS
B021010,담배,C,9.3,0.09172753500878286,0.3082992012679692,0.009834542113528215,0.009221208780194607,완전동결,0.8994717477220805,완전동결
D041020,하수도료,C,3.1,0.6375964923127211,0.48948616320749333,0.45489004094184843,0.5508174056203113,계단평균,0.2865549819889236,계단평균
G023030,도로통행료,C,1.7,0.07136056497994488,0.13869657694814355,0.12801290729057285,0.06094761010227543,완전동결,0.14592029758446973,비계절ETS
G031010,열차료,C,1.7,0.009189851242294935,0.14508660691456043,0.0,0.0,계단평균,1.0,계단평균
G031020,도시철도료,C,2.2,0.34563410973119574,0.3912687136084776,0.37570980519089353,0.26149233844103914,완전동결,0.24344174640516464,완전동결
G032010,시내버스료,C,6.8,0.23723940608656802,0.2629440099938715,0.3835876476402602,0.1878907561614894,완전동결,0.20801202776182734,완전동결
G032020,시외버스료,C,1.0,0.06660102920609628,0.15465944457265876,0.1324443089430897,0.0,완전동결,1.0,완전동결
G032030,택시료,C,3.2,0.12075066238884323,0.14047223833908068,0.2755726427436209,0.08889284158067082,완전동결,0.26383143726022257,완전동결
G033020,국제항공료,C,2.9,3.5103508876487632,2.776389787344931,2.703314659217028,3.4828990269730684,계단평균,0.22990186857710088,계단평균
H031020,휴대전화료,C,29.8,2.039639763190423,2.200357927761135,3.0781738343029583,1.9175830716195028,완전동결,0.05984227890321086,비계절ETS
H031030,인터넷이용료,C,5.5,3.664399325261885e-05,0.039085342876217795,0.006712369181700617,0.0,완전동결,1.0,완전동결
I042070,방송수신료,C,2.4,0.03138803790148002,0.07370913765632149,0.08074084178704453,0.0270095039839499,완전동결,0.13949689787151887,비계절ETS
L031080,행정수수료,C,1.1,0.062136096621771254,0.18609009413475547,0.04639733226195222,0.035757332261952615,완전동결,0.4245320481006212,완전동결
D052010,도시가스,D,11.5,0.36932785081518416,0.5370102675337719,0.9252926925266444,0.2756771101402422,완전동결,0.2535707514833639,완전동결
D053020,지역난방비,D,1.6,0.289975595561595,0.4200987927859523,0.7348433614641964,0.01959501190865611,완전동결,0.93242530678933,완전동결
