품목코드,품목명,Tier,가중치,모델,pred_2026-08
I012020,컴퓨터수리비,A,0.1,비계절ETS,208.18091607030095
I012030,휴대용멀티미디어기기,A,1.2,비계절ETS,149.9974920586041
I012040,컴퓨터소모품,A,0.7,비계절ETS,127.77518820258581
I012050,저장장치,A,0.1,비계절ETS,214.89480609011372
I021010,악기,A,0.3,비계절ETS,106.54172278880013
I021020,헬스기구,A,1.1,비계절ETS,116.04417600583326
I031010,장난감,A,2.9,비계절ETS,101.40447233331628
I031020,레저용품,A,1.6,비계절ETS,112.94932781914557
I031030,운동용품,A,2.1,비계절ETS,105.70850209457221
I031040,화초,A,0.7,비계절ETS,136.4300000976026
I031050,원예용품,A,0.4,비계절ETS,121.17193914097614
I031060,반려동물용품,A,3.3,비계절ETS,123.15408971876329
I031070,반려동물관리비,A,2.6,비계절ETS,115.40722139673487
I041010,수영장이용료,A,0.2,비계절ETS,114.2950009243212
I041020,볼링장이용료,A,0.2,비계절ETS,109.90170742712277
I041030,헬스클럽이용료,A,1.5,비계절ETS,109.13610718255413
I041040,골프연습장이용료,A,2.3,비계절ETS,103.96576146119764
I041050,골프장이용료,A,3.0,비계절ETS,120.89638350620748
I041060,당구장이용료,A,0.5,비계절ETS,109.10833825528863
I041070,노래방이용료,A,0.5,비계절ETS,123.5853258696335
I041080,PC방이용료,A,0.3,비계절ETS,115.98659016976015
I041090,놀이시설이용료,A,2.3,비계절ETS,129.31251616544475
I041100,운동경기관람료,A,0.2,비계절ETS,133.77913198873236
I042010,영화관람료,A,1.0,비계절ETS,128.81002998546916
I042020,공연예술관람료,A,0.7,비계절ETS,116.06186154562079
I042030,관람시설이용료,A,0.6,비계절ETS,111.5029769148456
I042040,독서실비,A,0.8,비계절ETS,98.93662196441933
I042050,문화강습료,A,0.9,비계절ETS,117.61072739267507
I042060,온라인콘텐츠이용료,A,8.0,비계절ETS,111.55872815790211
I042080,사진서비스료,A,1.7,비계절ETS,126.34116317994346
I051010,유아용학습교재,A,0.3,비계절ETS,115.53543655375334
I051020,초등학교학습서,A,0.6,비계절ETS,111.44321061246707
I051030,중학교학습서,A,0.6,비계절ETS,119.8452379384333
I051040,고등학교학습서,A,0.6,비계절ETS,140.41660834300774
I051050,대학교재,A,0.2,비계절ETS,103.16346789072954
I051060,서적,A,1.5,비계절ETS,113.52482541932137
I052010,신문,A,0.4,비계절ETS,120.4452596361021
I053010,종이문구,A,0.5,비계절ETS,125.65496602818156
I053020,기타문구,A,0.1,비계절ETS,130.57341715030353
I053030,필기구,A,0.4,비계절ETS,118.0105945593535
I053040,회화용구,A,0.2,비계절ETS,118.79835009916302
I061010,국내단체여행비,A,2.0,비계절ETS,132.52210421233423
I061020,해외단체여행비,A,5.5,비계절ETS,135.76251697629587
J041010,초등학생학원비,A,7.6,비계절ETS,112.65689814962941
J041020,중학생학원비,A,13.8,비계절ETS,111.96368741891585
J041030,고등학생학원비,A,13.8,비계절ETS,109.66959953685671
J041040,음악학원비,A,3.0,비계절ETS,120.45771444206808
J041050,미술학원비,A,2.6,비계절ETS,121.31432878798829
J041060,운동학원비,A,5.7,비계절ETS,125.12730419683231
J041070,전산학원비,A,0.5,비계절ETS,115.28197557708765
J041080,가정학습지,A,3.5,비계절ETS,124.56649253307158
J041090,이러닝이용료,A,0.7,비계절ETS,115.60794593079926
J041100,학교보충교육비,A,1.4,비계절ETS,106.19389533052421
J041110,기타학원비,A,0.2,비계절ETS,109.12147152050838
J042010,취업학원비,A,2.0,비계절ETS,108.64511367289388
J042020,외국어학원비,A,0.5,비계절ETS,115.8338371871586
J042030,운동강습료,A,3.7,비계절ETS,110.42354728383557
K011010,김치찌개백반,A,4.8,비계절ETS,131.40121921837218
K011020,된장찌개백반,A,4.3,비계절ETS,130.56597097162603
K011030,비빔밥,A,2.4,비계절ETS,133.36570163180494
K011040,설렁탕,A,2.0,비계절ETS,131.35712143927262
K011050,갈비탕,A,2.2,비계절ETS,137.38737140235207
K011060,삼계탕,A,2.2,비계절ETS,127.4818936018161
K011070,해물찜,A,4.1,비계절ETS,118.07639111699649
K011080,해장국,A,5.0,비계절ETS,135.12032701862697
K011090,불고기,A,1.1,비계절ETS,125.72990594141598
K011100,쇠고기(외식),A,8.3,비계절ETS,123.09719609557935
K011110,돼지갈비(외식),A,6.1,비계절ETS,127.90185009100483
K011120,삼겹살(외식),A,7.2,비계절ETS,125.91727208327212
K011130,오리고기(외식),A,1.5,비계절ETS,126.50901599768154
K011140,냉면,A,2.4,비계절ETS,132.42497033938096
K011150,칼국수,A,2.7,비계절ETS,134.08388873345402
K011160,죽(외식),A,1.7,비계절ETS,126.93528840124821
K011170,생선초밥,A,2.7,비계절ETS,120.94499191410023
K011180,생선회(외식),A,10.3,비계절ETS,138.81466452770755
K011190,자장면,A,2.2,비계절ETS,138.45642394620555
K011200,짬뽕,A,2.4,비계절ETS,134.52692120489448
K011210,탕수육,A,2.1,비계절ETS,124.39807419110467
K011220,볶음밥,A,0.9,비계절ETS,133.1705983312361
K011230,돈가스,A,2.2,비계절ETS,132.79209402403754
K011240,스테이크,A,1.5,비계절ETS,121.87382634111427
K011250,스파게티,A,1.5,비계절ETS,121.65903634216117
K011260,라면(외식),A,0.7,비계절ETS,136.25622283540233
K011270,김밥,A,3.4,비계절ETS,145.27195075869136
K011280,떡볶이,A,3.1,비계절ETS,140.83105707893904
K011290,치킨,A,8.6,비계절ETS,132.2575663167978
K011300,햄버거,A,4.3,비계절ETS,142.35485845447812
K011310,피자,A,4.1,비계절ETS,119.68907897513654
K011320,쌀국수,A,0.6,비계절ETS,130.71683517882664
K011330,커피(외식),A,8.8,비계절ETS,111.69160072779957
K011340,기타음료(외식),A,0.5,비계절ETS,107.46800388755982
K011350,소주(외식),A,2.5,비계절ETS,119.10065848548906
K011360,맥주(외식),A,4.8,비계절ETS,121.22477487985198
K011370,막걸리(외식),A,0.3,비계절ETS,120.67305966994313
K011380,구내식당식사비,A,11.9,비계절ETS,127.01329229148364
K011390,도시락,A,0.6,비계절ETS,146.38489546371147
K021010,호텔숙박료,A,2.1,비계절ETS,140.90162944386213
K021020,여관숙박료,A,1.5,비계절ETS,109.87184162522935
K021030,콘도이용료,B,0.8,계절ETS,172.51072722470207
K021040,학교기숙사비,A,0.9,비계절ETS,119.06015677117362
K021050,휴양시설이용료,A,1.4,비계절ETS,124.0961743938717
L011010,목욕료,A,0.6,비계절ETS,138.57551629410003
L011020,찜질방이용료,A,0.6,비계절ETS,135.89249392526506
L011030,이발료,A,0.3,비계절ETS,120.35120355880608
L011040,미용료,A,7.3,비계절ETS,121.32740624434507
L011050,뷰티미용료,A,2.2,비계절ETS,122.06893840633552
L012010,면도기,A,0.4,비계절ETS,124.39581578721113
L012020,헤어드라이어,A,0.7,비계절ETS,117.23366557969261
L012030,칫솔,A,0.4,비계절ETS,105.05660609656354
L012040,치약,A,0.5,비계절ETS,117.16649894343189
L012050,비누,A,0.3,비계절ETS,140.09931529769418
L012060,샴푸,A,1.0,비계절ETS,143.02230185367588
L012070,바디워시,A,0.5,비계절ETS,119.07015937226416
L012080,화장지,A,1.3,비계절ETS,123.0822822204851
L012090,기초화장품,A,4.5,비계절ETS,108.43814275400499
L012100,기능성화장품,A,3.7,비계절ETS,131.36959298607175
L012110,색조화장품,A,0.7,비계절ETS,109.33342868623605
L012120,모발염색약,A,0.7,비계절ETS,129.82849554122996
L012130,구강세정제,A,0.2,비계절ETS,120.12726904452165
L021010,손목시계,A,0.6,비계절ETS,146.49380964395274
L021020,장신구,A,1.0,비계절ETS,119.90050992428259
L021030,가방,A,2.7,비계절ETS,111.10551927543793
L021040,핸드백,A,1.4,비계절ETS,115.48204174036604
L021050,우산,A,0.2,비계절ETS,107.22761035864059
L021060,유모차,A,0.2,비계절ETS,105.6491110620346
L021070,선글라스,A,0.4,비계절ETS,102.82366731899968
L021080,지갑,A,0.5,비계절ETS,122.68999998810263
L031010,산후조리원이용료,A,0.7,비계절ETS,128.5847844923241
L031040,보험서비스료,A,8.6,비계절ETS,217.53199017196638
L031050,자동차보험료,A,3.7,비계절ETS,94.9379822349045
L031060,금융수수료,A,0.2,비계절ETS,99.99931497468953
L031090,대입전형료,A,0.1,비계절ETS,101.7307203748236
L031100,시험응시료,A,0.4,비계절ETS,116.22148920752211
L031110,장례비,A,2.6,비계절ETS,111.5678113287711
A013010,갈치,B,1.1,계절ETS,121.42970975385731
A013020,명태,B,0.7,계절ETS,110.67218080880924
A013030,조기,B,0.9,계절ETS,134.4369268688711
A013040,고등어,B,2.0,계절ETS,133.63475463256978
A013050,오징어,B,1.0,계절ETS,131.38425112634698
A013060,게,B,0.9,계절ETS,94.54903681552256
A013070,굴,B,0.4,계절ETS,114.08819054641096
A013080,조개,B,0.6,계절ETS,121.97678899247659
A013090,전복,B,0.5,계절ETS,86.33652265595016
A013100,새우,B,0.7,계절ETS,126.1703531880883
A013130,낙지,B,0.5,계절ETS,126.17046861421893
A016010,사과,B,2.3,계절ETS,171.3001860356725
A016020,배,B,0.7,계절ETS,172.7390733536317
A016030,복숭아,B,1.0,계절ETS,148.06064394590382
A016040,포도,B,1.4,계절ETS,151.59776430888837
A016050,밤,B,0.2,계절ETS,113.68348442223294
A016060,감,B,0.5,계절ETS,120.90442123981656
A016070,귤,B,1.8,계절ETS,215.1657241949079
A016080,오렌지,B,0.4,계절ETS,121.30734628920199
A016090,참외,B,1.0,계절ETS,96.8364244171776
A016100,수박,B,1.0,계절ETS,162.0373545876966
A016110,딸기,B,1.5,계절ETS,98.2160386835701
A016120,바나나,B,0.8,계절ETS,110.83740853867732
A016130,키위,B,0.4,계절ETS,142.09746579621552
A016140,블루베리,B,0.4,계절ETS,143.74399036788344
A016150,망고,B,0.4,계절ETS,130.2408227345608
A016160,체리,B,0.3,계절ETS,92.8133379818876
A016170,아보카도,B,0.1,계절ETS,75.18684621700096
A016180,파인애플,B,0.2,계절ETS,116.0092943708211
A017010,배추,B,1.3,계절ETS,110.90691548323254
A017020,상추,B,0.6,계절ETS,171.61756491970192
A017030,시금치,B,0.3,계절ETS,242.61913292478482
A017040,양배추,B,0.2,계절ETS,87.02381645247128
A017050,미나리,B,0.2,계절ETS,150.5510838268189
A017060,깻잎,B,0.2,계절ETS,135.91444381103926
