품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,raw_pred_2025-08,pred_2025-09,actual_2025-09,raw_pred_2025-09,pred_2025-10,actual_2025-10,raw_pred_2025-10,pred_2025-11,actual_2025-11,raw_pred_2025-11,pred_2025-12,actual_2025-12,raw_pred_2025-12,pred_2026-01,actual_2026-01,raw_pred_2026-01,pred_2026-02,actual_2026-02,raw_pred_2026-02,pred_2026-03,actual_2026-03,raw_pred_2026-03,pred_2026-04,actual_2026-04,raw_pred_2026-04,pred_2026-05,actual_2026-05,raw_pred_2026-05,pred_2026-06,actual_2026-06,raw_pred_2026-06,pred_2026-07,actual_2026-07,raw_pred_2026-07
A016040,포도,B,1.4,계절ETS,152.8663583229469,149.4,152.8663583229469,137.1143145057362,132.63,137.1143145057362,128.80169423274475,127.53,128.80169423274475,117.78454349371214,127.26,117.78454349371214,126.0449923732239,128.25,126.0449923732239,130.32184692908942,128.52,130.32184692908942,131.83066072954165,127.2,131.83066072954165,122.54890311403676,122.75,122.54890311403676,117.46994919082223,118.41,117.46994919082223,119.5226427669007,119.3,119.5226427669007,122.86049312287096,123.33,122.86049312287096,142.8818142906291,144.3,142.8818142906291
A016050,밤,B,0.2,계절ETS,118.9973623318574,118.28,118.9973623318574,121.4063327545134,115.62,121.4063327545134,110.84510179902011,111.17,110.84510179902011,109.11973545912774,111.52,109.11973545912774,111.08690353263896,111.97,111.08690353263896,113.32419297480136,114.35,113.32419297480136,117.13358798396705,113.5,117.13358798396705,115.78222305176436,112.39,115.78222305176436,112.68343712294217,112.62,112.68343712294217,112.00251528028907,113.7,112.00251528028907,112.32478593290284,113.24,112.32478593290284,111.31812232975048,113.01,111.31812232975048
A016060,감,B,0.5,계절ETS,126.5963154078591,123.03,125.09334191156832,124.92468298296018,122.8,123.67270880511428,124.53826273264154,129.64,124.53826273264154,113.14195850384182,107.18,113.14195850384182,113.47648091732304,109.01,113.47648091732304,114.86318052196842,112.47,114.86318052196842,118.96211093346844,117.18,118.96211093346844,120.37659544323245,119.4,120.37659544323245,118.77318433650196,120.06,118.77318433650196,118.25263500213552,120.52,118.25263500213552,118.153299566916,120.64,118.153299566916,118.422484805759,118.82,118.422484805759
A016070,귤,B,1.8,계절ETS,268.40080577028044,271.44,268.40080577028044,271.78081906943066,259.37,271.78081906943066,271.36903565050983,249.96,271.36903565050983,199.25877312619792,205.05,199.25877312619792,190.42828812902468,195.9,190.42828812902468,202.0205096504074,191.91,202.0205096504074,209.3873645929684,206.86,209.3873645929684,221.0380984689532,229.15,221.0380984689532,223.71206383005136,223.51,223.71206383005136,216.6173813932041,219.17,216.6173813932041,213.7137745838045,217.34,213.7137745838045,214.12215437155783,210.53,214.12215437155783
A016080,오렌지,B,0.4,계절ETS,113.42059683286206,113.17,113.42059683286206,113.29208798380895,108.2,113.29208798380895,104.3853180330886,107.26,104.3853180330886,97.74478732030606,99.86,97.74478732030606,99.13747639456804,98.96,99.13747639456804,122.28414420487772,123.25,122.28414420487772,129.22720633476538,131.2,129.22720633476538,121.90779960814184,114.58,121.90779960814184,106.74450921899432,110.36,106.74450921899432,109.18736789414784,113.37,109.18736789414784,115.184593944923,120.98,115.184593944923,116.89137743973724,117.16,116.89137743973724
A016090,참외,B,1.0,계절ETS,108.50454172570056,103.3,108.50454172570056,107.15017874232058,98.78,107.15017874232058,99.6624451673554,98.7,99.6624451673554,96.55184172918332,92.5,96.55184172918332,99.1677839913998,91.73,99.1677839913998,99.38018134695167,96.61,99.38018134695167,103.48392215156872,98.57,103.48392215156872,152.41663958668994,141.37,152.41663958668994,150.81691306435837,141.61,150.81691306435837,96.16722346543406,115.45,100.10995165244924,94.86873438915758,103.13,94.86873438915758,78.22876857471672,85.62,78.22876857471672
A016100,수박,B,1.0,계절ETS,179.440529135575,176.93,179.440529135575,176.85543732127476,169.66,176.85543732127476,164.15125380556887,168.1,164.15125380556887,156.65171364397716,156.46,156.65171364397716,155.7799387500299,155.0,155.7799387500299,158.77767037312114,157.67,158.77767037312114,160.89343383464043,158.1,161.67708813759512,157.70125506631993,154.84,157.70125506631993,152.76955535538553,151.02,153.22644733304674,161.54034026648813,171.85,162.61275159689714,153.7019933873343,153.14,153.7019933873343,152.48437744225893,137.68,152.48437744225893
A016110,딸기,B,1.5,계절ETS,104.53056597721648,104.51,104.53056597721648,104.70880105101983,99.75,104.70880105101983,96.0980229917416,98.75,96.0980229917416,90.82854861042998,91.96,90.82854861042998,176.44043170086394,198.38,176.44043170086394,191.53606905726025,203.25,191.53606905726025,176.66238169634772,167.9,176.66238169634772,140.08674500015547,118.42,140.08674500015547,108.99228795731084,101.24,108.99228795731084,101.35615439496029,98.44,101.35615439496029,95.19690477134202,97.7,95.19690477134202,94.42827817460643,94.62,94.42827817460643
A016120,바나나,B,0.8,계절ETS,110.84629487221464,109.27,110.84629487221464,111.93878821161682,114.13,111.93878821161682,113.7408076698082,115.6,113.7408076698082,110.98256430479104,111.61,110.98256430479104,107.76467168442387,112.24,107.76467168442387,113.9046007397124,116.78,113.9046007397124,123.22089908340001,120.49,122.17567183165671,124.71473724005395,119.26,123.68044768425486,122.80369617255104,119.18,122.80369617255104,119.27377749199144,118.81,119.27377749199144,117.16091012841812,116.32,117.16091012841812,111.58257066129973,112.68,112.39848106615818
A016130,키위,B,0.4,계절ETS,124.59931914991684,127.65,124.59931914991684,127.8117905731577,129.93,127.8117905731577,129.66984722973294,133.63,129.66984722973294,132.80365606473805,136.35,132.80365606473805,134.86497523681538,137.44,134.86497523681538,138.23242941067397,131.27,136.79079392017184,130.78999024955118,129.63,130.78999024955118,128.7326473019882,131.28,128.7326473019882,130.53478041415426,128.73,130.53478041415426,132.26755371744045,131.22,132.26755371744045,133.341084335299,140.8,133.341084335299,140.4448187226931,142.46,140.4448187226931
A016140,블루베리,B,0.4,계절ETS,135.27066309150732,136.49,134.93687578070885,137.9254642148912,137.53,137.396000594372,138.6514573753806,139.39,138.2028241188021,140.1052096011088,141.49,139.56337649499673,142.36506964522184,142.43,141.75501923265713,142.81366999373896,143.2,142.19758090320212,144.85516487119475,144.06,144.20733258366863,143.46011850084543,143.66,142.9823318936153,145.32268496804994,144.05,144.79053149074414,144.5383306885596,144.92,144.5383306885596,144.2891610085936,145.8,144.2891610085936,144.66771219675408,143.21,144.66771219675408
A016150,망고,B,0.4,계절ETS,100.33032028195402,106.03,100.33032028195402,116.11548873172168,128.16,116.11548873172168,128.39336954158355,129.68,128.39336954158355,125.28643244583616,129.73,125.28643244583616,126.269549071965,130.96,126.269549071965,133.56631673802605,122.03,133.56631673802605,113.86733674741524,117.23,113.86733674741524,104.0398881287594,107.04,104.0398881287594,103.40414600639588,97.14,103.40414600639588,95.09976571715303,101.64,95.09976571715303,105.34288060886004,112.67,105.34288060886004,120.76022488892312,122.6,120.76022488892312
A016160,체리,B,0.3,계절ETS,85.80203225511532,84.49,85.80203225511532,84.5467302072445,80.83,84.5467302072445,78.0270133731254,80.11,78.0270133731254,72.63493524427702,74.61,72.63493524427702,115.77053019349708,117.14,115.77053019349708,104.89636276663111,81.89,104.89636276663111,67.03897675132202,79.93,67.03897675132202,79.11571208152971,78.26,79.11571208152971,77.43934710543853,76.28,77.43934710543853,74.32770496492795,74.69,74.32770496492795,90.69895067077096,109.15,90.69895067077096,94.16294771663284,94.97,94.16294771663284
