품목명,Tier,가중치,MAPE_보정전,MAPE_보정후,개선
반려동물관리비,A,2.6,0.09474705592309804,0.09969254340812485,-0.004945487485026809
수영장이용료,A,0.2,0.12465379197729708,0.13555626412379934,-0.010902472146502265
볼링장이용료,A,0.2,0.11213972829812376,0.12391054363790163,-0.011770815339777876
헬스클럽이용료,A,1.5,0.13133100362895206,0.14567522407256533,-0.014344220443613276
골프연습장이용료,A,2.3,0.09433368733133135,0.09884325964698618,-0.004509572315654825
골프장이용료,A,3.0,0.5124981504707469,0.5048895911654536,0.00760855930529325
당구장이용료,A,0.5,0.08879898138833493,0.08879898138833493,0.0
노래방이용료,A,0.5,0.1747064511182688,0.1669325249103285,0.0077739262079402904
PC방이용료,A,0.3,0.1358617574253966,0.14283227929010012,-0.0069705218647035105
놀이시설이용료,A,2.3,1.7047966911477364,1.7768091488819397,-0.0720124577342034
운동경기관람료,A,0.2,0.49093446091373244,0.49823116851493093,-0.007296707601198493
영화관람료,A,1.0,0.00012086471194153471,0.00012086471194153471,0.0
공연예술관람료,A,0.7,0.41685357177887783,0.4741037281883925,-0.057250156409514696
관람시설이용료,A,0.6,0.33982217110360213,0.32353112191410405,0.016291049189498086
독서실비,A,0.8,0.21063122698451214,0.23235933709360915,-0.021728110109097004
문화강습료,A,0.9,0.10805288859066103,0.09709934803037863,0.010953540560282402
온라인콘텐츠이용료,A,8.0,0.11018541095526425,0.06581044219815982,0.044374968757104435
사진서비스료,A,1.7,0.7337799370249386,0.743167625876654,-0.00938768885171537
유아용학습교재,A,0.3,0.276032743548375,0.267887834472239,0.008144909076135964
초등학교학습서,A,0.6,0.22531392878473458,0.20748350266722196,0.01783042611751262
중학교학습서,A,0.6,1.3425082693656476,1.34245277626976,5.5493095887593213e-05
고등학교학습서,A,0.6,0.37047233942705693,0.3730823231692385,-0.0026099837421815764
대학교재,A,0.2,0.10946338519567982,0.10237189778995258,0.007091487405727237
서적,A,1.5,0.30359559589714813,0.30359559589714813,0.0
신문,A,0.4,0.06479542353968047,0.0251627849537782,0.03963263858590227
종이문구,A,0.5,0.4223448827563038,0.43690618747557675,-0.014561304719272972
기타문구,A,0.1,0.5951662243061189,0.5716485098011096,0.02351771450500928
필기구,A,0.4,0.4098333657090825,0.4206599839062089,-0.01082661819712638
회화용구,A,0.2,0.19120129634358662,0.2006092356783784,-0.009407939334791782
국내단체여행비,A,2.0,6.282336174161912,6.282336174161912,0.0
해외단체여행비,A,5.5,4.747881969231313,4.747881969231313,0.0
초등학생학원비,A,7.6,0.12981042323831113,0.12554280534760287,0.0042676178907082585
중학생학원비,A,13.8,0.11627663643574372,0.12805159178192102,-0.011774955346177299
고등학생학원비,A,13.8,0.09928209891032513,0.0990404472339724,0.0002416516763527332
음악학원비,A,3.0,0.12577225890089622,0.12214901750921554,0.0036232413916806733
미술학원비,A,2.6,0.1469096433516739,0.130810092186513,0.016099551165160902
운동학원비,A,5.7,0.23521317286855722,0.2264685595313981,0.008744613337159118
전산학원비,A,0.5,0.12399632582194989,0.1269053709601173,-0.002909045138167421
가정학습지,A,3.5,0.49874046142525585,0.49623194425986417,0.0025085171653916882
이러닝이용료,A,0.7,0.5912786707390857,0.5912786707390857,0.0
학교보충교육비,A,1.4,0.7736132332377469,0.7736132332377469,0.0
기타학원비,A,0.2,0.07906374173964478,0.07906374173964478,0.0
취업학원비,A,2.0,0.4054137820883332,0.44602094347321675,-0.04060716138488357
외국어학원비,A,0.5,0.1605128447432524,0.15594495702867583,0.004567887714576557
운동강습료,A,3.7,0.082580473761473,0.08548960562565029,-0.0029091318641772945
김치찌개백반,A,4.8,0.16178517350147054,0.16865001570714047,-0.006864842205669935
된장찌개백반,A,4.3,0.17927227942111443,0.18621913176696372,-0.006946852345849297
비빔밥,A,2.4,0.2001059889490375,0.2036324510148865,-0.003526462065849001
설렁탕,A,2.0,0.19242356251022022,0.19907590907251752,-0.0066523465622972955
갈비탕,A,2.2,0.20276570255712625,0.20276570255712625,0.0
삼계탕,A,2.2,0.15513865260649837,0.14327708556675417,0.011861567039744197
해물찜,A,4.1,0.08888971320633635,0.08637316947305633,0.002516543733280016
해장국,A,5.0,0.1781044753423922,0.19648939442731297,-0.018384919084920764
불고기,A,1.1,0.19511878132061766,0.20388371052826437,-0.00876492920764671
쇠고기(외식),A,8.3,0.12480001757760414,0.1302155946555295,-0.005415577077925365
돼지갈비(외식),A,6.1,0.13339718484410265,0.14392212523167827,-0.010524940387575621
삼겹살(외식),A,7.2,0.11401739775529285,0.11401739775529285,0.0
오리고기(외식),A,1.5,0.2545586443995271,0.258349651016019,-0.0037910066164918987
냉면,A,2.4,0.16027454115733034,0.18355647808448347,-0.023281936927153135
칼국수,A,2.7,0.10487112292278292,0.11295077872205482,-0.008079655799271904
죽(외식),A,1.7,0.37921625167093487,0.36904813739193054,0.010168114279004326
생선초밥,A,2.7,0.09993195898699195,0.10277925449389345,-0.0028472955069015066
생선회(외식),A,10.3,0.18182486406639853,0.186853654421156,-0.005028790354757479
자장면,A,2.2,0.14243818602398356,0.14566576920895896,-0.003227583184975402
짬뽕,A,2.4,0.17882037112021906,0.17882037112021906,0.0
탕수육,A,2.1,0.10494121561421309,0.107847625809861,-0.0029064101956479127
볶음밥,A,0.9,0.11759339673653947,0.11953850568455604,-0.001945108948016569
돈가스,A,2.2,0.18580517644903777,0.19408356314076558,-0.008278386691727813
스테이크,A,1.5,0.1838895675196196,0.19523975531752719,-0.011350187797907585
스파게티,A,1.5,0.12283780730936598,0.1275658216180447,-0.00472801430867871
라면(외식),A,0.7,0.15807596995421339,0.16587320058346897,-0.00779723062925558
김밥,A,3.4,0.18156706401930592,0.19124814175237825,-0.009681077733072335
떡볶이,A,3.1,0.15021731719221193,0.15437952966688384,-0.004162212474671911
치킨,A,8.6,0.24448349042101905,0.24448349042101905,0.0
햄버거,A,4.3,1.553279458477684,1.639526567439782,-0.0862471089620982
피자,A,4.1,0.029081190980816223,0.029081190980816223,0.0
쌀국수,A,0.6,0.11761153650842228,0.12212885907330048,-0.004517322564878204
커피(외식),A,8.8,0.11082553976905975,0.08329097281129669,0.02753456695776306
기타음료(외식),A,0.5,0.03767885985114105,0.03767885985114105,0.0
소주(외식),A,2.5,0.2673663182248046,0.2677154882023565,-0.0003491699775519108
맥주(외식),A,4.8,0.20504017697900137,0.21037689672970752,-0.005336719750706154
막걸리(외식),A,0.3,0.14232897089719454,0.14232897089719454,0.0
구내식당식사비,A,11.9,0.15831592185186533,0.16173572769828204,-0.0034198058464167125
도시락,A,0.6,0.8500496045981524,0.8698840227015194,-0.019834418103367057
호텔숙박료,A,2.1,5.1992169621709206,5.1992169621709206,0.0
여관숙박료,A,1.5,0.36305776536826495,0.36305776536826495,0.0
콘도이용료,B,0.8,5.863581945825578,5.863581945825578,0.0
학교기숙사비,A,0.9,0.33630042479560285,0.33630042479560285,0.0
휴양시설이용료,A,1.4,6.147992650588376,6.147992650588376,0.0
목욕료,A,0.6,0.18372582315274183,0.19043514949815815,-0.006709326345416322
찜질방이용료,A,0.6,0.19340026274010563,0.19764186811941742,-0.004241605379311786
이발료,A,0.3,0.16341406729159236,0.16341406729159236,0.0
미용료,A,7.3,0.1370226838094027,0.13941417744108875,-0.002391493631686059
뷰티미용료,A,2.2,0.18662076314494613,0.19125360315137085,-0.004632840006424721
면도기,A,0.4,1.1248566100620514,1.114197290042913,0.010659320019138496
헤어드라이어,A,0.7,1.9122789251444843,1.9122789251444843,0.0
칫솔,A,0.4,1.6596667235207312,1.6596667235207312,0.0
치약,A,0.5,2.130310673688711,2.2650279442998773,-0.13471727061116612
비누,A,0.3,1.252116114586605,1.374793872160194,-0.1226777575735889
샴푸,A,1.0,0.9116063407334037,0.9914916844053043,-0.07988534367190059
바디워시,A,0.5,2.3857891601011905,2.3857891601011905,0.0
화장지,A,1.3,0.7313526722488347,0.7292267658923427,0.0021259063564920133
기초화장품,A,4.5,0.7421540738116432,0.8197168364750146,-0.07756276266337137
기능성화장품,A,3.7,0.42502950650624427,0.47163958442608017,-0.0466100779198359
색조화장품,A,0.7,0.2992176253599985,0.2992176253599985,0.0
모발염색약,A,0.7,3.2268071349283494,3.2268071349283494,0.0
구강세정제,A,0.2,2.9855274270527556,2.9855274270527556,0.0
손목시계,A,0.6,1.2680367930213354,1.2680367930213354,0.0
