월,분류,방식,예측,실제,오차,오차%
2025-01,01 식료품 및 비주류음료,바텀업,124.77633611263632,125.13,-0.3536638873636804,-0.2826371672370178
2025-01,02 주류 및 담배,바텀업,104.69087723809713,104.61,0.08087723809713054,0.07731310400261021
2025-01,03 의류 및 신발,바텀업,115.45917633121459,115.46,-0.0008236687854008551,-0.0007133802056130739
2025-01,"04 주택, 수도, 전기 및 연료",바텀업,115.49790226394546,115.87,-0.3720977360545419,-0.32113380172136174
2025-01,05 가정용품 및 가사 서비스,바텀업,115.96380588466653,116.17,-0.20619411533347431,-0.1774934280222728
2025-01,06 보건,바텀업,105.81138315253423,105.42,0.3913831525342317,0.3712608162912462
2025-01,07 교통,바텀업,116.4963807666984,115.62,0.8763807666983894,0.7579837110347599
2025-01,08 통신,바텀업,101.2262208031958,101.34,-0.11377919680420234,-0.11227471561496186
2025-01,09 오락 및 문화,바텀업,109.44605417768531,109.63,-0.18394582231468348,-0.1677878521524067
2025-01,10 교육,바텀업,107.09021270370854,107.17,-0.07978729629145676,-0.0744492827204038
2025-01,11 음식 및 숙박,바텀업,122.44371606381976,122.65,-0.20628393618024177,-0.1681891041012978
2025-01,12 기타 상품 및 서비스,바텀업,120.16447245346936,123.0,-2.835527546530642,-2.3053069483988957
2025-02,01 식료품 및 비주류음료,탑다운,126.00026161197424,126.45,-0.4497383880257644,-0.3556649964616563
2025-02,02 주류 및 담배,탑다운,104.75784571201159,104.69,0.0678457120115894,0.06480629669652249
2025-02,03 의류 및 신발,탑다운,115.65106321250491,115.86,-0.20893678749509093,-0.18033556662790517
2025-02,"04 주택, 수도, 전기 및 연료",탑다운,116.27202038028732,116.47,-0.19797961971268307,-0.16998336027533534
2025-02,05 가정용품 및 가사 서비스,탑다운,116.67550139718107,116.61,0.06550139718106607,0.056171337947917045
2025-02,06 보건,탑다운,105.42739836245504,105.43,-0.0026016375449700035,-0.0024676444512662463
2025-02,07 교통,탑다운,115.78486541011108,116.19,-0.4051345898889167,-0.3486828383586511
2025-02,08 통신,탑다운,101.12294920065465,101.34,-0.21705079934535831,-0.21418077693443685
2025-02,09 오락 및 문화,탑다운,109.67539864551934,108.89,0.7853986455193365,0.7212771104043866
2025-02,10 교육,탑다운,107.08559666062204,107.26,-0.17440333937796026,-0.16259867553417887
2025-02,11 음식 및 숙박,탑다운,122.95242027800917,122.86,0.09242027800917185,0.07522405828517975
2025-02,12 기타 상품 및 서비스,탑다운,123.03323788334788,123.07,-0.036762116652113264,-0.029870900017968043
2025-02,01 식료품 및 비주류음료,바텀업,126.16583949055706,126.45,-0.28416050944294113,-0.2247216365701393
2025-02,02 주류 및 담배,바텀업,104.73751884673372,104.69,0.04751884673372331,0.04539005323691213
2025-02,03 의류 및 신발,바텀업,115.43829621325465,115.86,-0.42170378674535414,-0.3639770298164631
2025-02,"04 주택, 수도, 전기 및 연료",바텀업,115.73577042871258,116.47,-0.7342295712874147,-0.6304023107129859
2025-02,05 가정용품 및 가사 서비스,바텀업,116.50919069175848,116.61,-0.1008093082415229,-0.08644996847742295
2025-02,06 보건,바텀업,105.80879576512007,105.43,0.37879576512005997,0.35928650774927434
2025-02,07 교통,바텀업,117.06014426109725,116.19,0.8701442610972521,0.7488977201973079
2025-02,08 통신,바텀업,101.23290818017645,101.34,-0.10709181982355176,-0.10567576457820382
2025-02,09 오락 및 문화,바텀업,110.23225659157465,108.89,1.3422565915746532,1.2326720466293077
2025-02,10 교육,바텀업,107.52059995365951,107.26,0.26059995365950783,0.24296098607076994
2025-02,11 음식 및 숙박,바텀업,122.84438484258271,122.86,-0.015615157417286696,-0.012709716276482742
2025-02,12 기타 상품 및 서비스,바텀업,123.0178286756263,123.07,-0.05217132437368832,-0.042391585580310656
2025-03,01 식료품 및 비주류음료,탑다운,126.52769180858583,127.26,-0.7323081914141767,-0.5754425517948897
2025-03,02 주류 및 담배,탑다운,104.56896789206584,104.72,-0.15103210793415656,-0.14422470199976753
2025-03,03 의류 및 신발,탑다운,115.89542243285756,115.87,0.02542243285755319,0.021940478862132726
2025-03,"04 주택, 수도, 전기 및 연료",탑다운,116.35628300472973,116.25,0.10628300472973251,0.09142624062772689
2025-03,05 가정용품 및 가사 서비스,탑다운,116.77044498483416,116.27,0.5004449848341608,0.4304162594256135
2025-03,06 보건,탑다운,105.36728754541315,105.45,-0.08271245458685428,-0.07843760510844408
2025-03,07 교통,탑다운,116.73961110874079,115.67,1.0696111087407871,0.9247091802029801
2025-03,08 통신,탑다운,101.27384242914187,101.35,-0.07615757085812902,-0.07514313848853382
2025-03,09 오락 및 문화,탑다운,108.84997565351587,108.99,-0.14002434648412532,-0.12847448984688992
2025-03,10 교육,탑다운,107.43752717042234,108.45,-1.0124728295776606,-0.9335849050969668
2025-03,11 음식 및 숙박,탑다운,123.14668775975504,123.38,-0.23331224024495612,-0.18910053513126612
2025-03,12 기타 상품 및 서비스,탑다운,123.46746388945301,123.52,-0.05253611054698126,-0.04253247291692136
2025-03,01 식료품 및 비주류음료,바텀업,126.33437701913547,127.26,-0.9256229808645315,-0.7273479340441078
2025-03,02 주류 및 담배,바텀업,104.7437685093804,104.72,0.023768509380403202,0.022697201470973264
2025-03,03 의류 및 신발,바텀업,115.80264027559596,115.87,-0.06735972440404225,-0.05813387797017541
2025-03,"04 주택, 수도, 전기 및 연료",바텀업,116.16547634107633,116.25,-0.08452365892367197,-0.07270852380530922
2025-03,05 가정용품 및 가사 서비스,바텀업,117.0384530754257,116.27,0.7684530754257111,0.6609211967194556
2025-03,06 보건,바텀업,105.83176190238558,105.45,0.38176190238557695,0.36203120188295584
2025-03,07 교통,바텀업,115.70000497805174,115.67,0.03000497805173552,0.02594015565983878
2025-03,08 통신,바텀업,101.23652791571254,101.35,-0.11347208428745148,-0.11196061597183175
2025-03,09 오락 및 문화,바텀업,109.83074119791914,108.99,0.8407411979191437,0.7713929699230606
2025-03,10 교육,바텀업,107.65619372349654,108.45,-0.7938062765034601,-0.731955994931729
2025-03,11 음식 및 숙박,바텀업,123.1585313715089,123.38,-0.2214686284910954,-0.17950123884835092
